Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,1.36562960891377,12,2.05196290406161,610,Adipose Tissue
Adrenal Gland,0.0074181117501927,7,0.600060018095008,159,Adrenal Gland
Artery,0.298646867304751,12,1.20592281438698,747,Artery
Bladder,0.359356838804922,2,2.33288639687957,13,Bladder
Brain,0.193901930925209,32,1.03786802959488,1401,Brain
Breast,0.0314808509450324,10,0.775781699674917,215,Breast
Cervix Uteri,0.19059386733997,7,1.02063779863481,11,Cervix Uteri
Colon,1.8628214876991,10,2.99636784920312,377,Colon
Esophagus,1.78943159317363,18,1.99283854919882,790,Esophagus
Fallopian Tube,0.19059386733997,5,1.008037331985,7,Fallopian Tube
Heart,0.193901930925209,14,1.07840974950093,486,Heart
Kidney,0.443242439125322,11,1.42001780679626,36,Kidney
Liver,1.8166930857233,19,2.02132827872953,141,Liver
Lung,17.4524309410566,47,4.9042787512676,374,Lung
Muscle,0.193901930925209,9,1.0886803185438,469,Muscle
Nerve,0.320604318130928,7,1.37724618610963,331,Nerve
Ovary,0.193901930925209,6,1.0767167985598,110,Ovary
Pancreas,0.443242439125322,9,1.46971843003413,199,Pancreas
Pituitary,0.19059386733997,9,1.00665645892749,126,Pituitary
Prostate,0.0074181117501927,2,0.494854690247182,121,Prostate
Salivary Gland,1.8166930857233,14,2.27485439695719,71,Salivary Gland
Skin,0.620167787273221,17,1.42731866955614,659,Skin
Small Intestine,4.66366471726739,21,3.2505620885431,103,Small Intestine
Spleen,15.4103227244585,56,3.68746559506771,118,Spleen
Stomach,0.193901930925209,5,1.11089828422837,206,Stomach
Testis,1.07883719887089e-05,7,0.31020741776689,203,Testis
Thyroid,1.45695282593144,11,2.23145655353698,360,Thyroid
Uterus,0.313441188093965,2,1.97941876098873,93,Uterus
Vagina,1.8166930857233,9,2.93943686006826,95,Vagina
