Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,2.36107994806192,17,2.36922281528301,610,Adipose Tissue
Adrenal Gland,0.361726666933927,16,1.11785470487955,159,Adrenal Gland
Artery,0.361726666933927,14,1.14666096073607,747,Artery
Bladder,0.150744807435883,1,0.950675541426585,13,Bladder
Brain,0.546364644979027,44,1.16309063260929,1401,Brain
Breast,0.317336108970564,17,1.07487305871509,215,Breast
Cervix Uteri,0.361726666933927,10,1.18834442678323,11,Cervix Uteri
Colon,2.88356873898131,13,3.17473300072731,377,Colon
Esophagus,1.59800151862971,20,1.80467221423352,790,Esophagus
Fallopian Tube,1.08705497333641,11,1.80745720221844,7,Fallopian Tube
Heart,1.97761688422575,28,1.75785288792085,486,Heart
Kidney,1.39526197791878,17,1.78862275778282,36,Kidney
Liver,6.74598792123826,34,2.94802317732283,141,Liver
Lung,13.2573376114893,46,3.91204503948064,374,Lung
Muscle,0.201649925423855,10,0.985885746664606,469,Muscle
Nerve,1.28987680391512,12,1.92425892722489,331,Nerve
Ovary,0.447100956086406,9,1.31631998043681,110,Ovary
Pancreas,1.59800151862971,15,1.99641863699583,199,Pancreas
Pituitary,0.492468152672885,14,1.27624935698363,126,Pituitary
Prostate,0.0414881719914685,3,0.60497534454419,121,Prostate
Salivary Gland,1.31910306852513,14,1.85405379223493,71,Salivary Gland
Skin,0.750830831862104,20,1.36858175629534,659,Skin
Small Intestine,5.53917048968822,25,3.15389990046734,103,Small Intestine
Spleen,8.96375498550463,51,2.73702555072009,118,Spleen
Stomach,0.516414077823024,8,1.4486484440786,206,Stomach
Testis,7.99281834026416e-05,12,0.433415172210763,203,Testis
Thyroid,1.08705497333641,11,1.81868364446825,360,Thyroid
Uterus,0.361726666933927,2,1.61326758545117,93,Uterus
Vagina,2.26086882419729,11,2.92808066759388,95,Vagina
