Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.951005161355675,9,1.99521614233424,610,Adipose Tissue
Adrenal Gland,0.328843456310011,11,1.22249901284463,159,Adrenal Gland
Artery,0.301981196887595,9,1.17257317903336,747,Artery
Bladder,0.191491553015011,1,1.51224715549937,13,Bladder
Brain,0.169894592782303,23,0.967117346714591,1401,Brain
Breast,0.180724848461293,10,1.00577007966704,215,Breast
Cervix Uteri,0.328843456310011,7,1.32321626106195,11,Cervix Uteri
Colon,2.726158829794,10,3.88467159210847,377,Colon
Esophagus,0.932058727702828,12,1.72242387880606,790,Esophagus
Fallopian Tube,0.311504127056477,5,1.30688025783896,7,Fallopian Tube
Heart,0.401325447865354,13,1.29824991651361,486,Heart
Kidney,0.951005161355675,11,1.84099653712967,36,Kidney
Liver,1.56501523623832,15,2.06887232999914,141,Liver
Lung,8.90476603473012,30,4.05842687098872,374,Lung
Muscle,0.099691905707583,5,0.784128154703376,469,Muscle
Nerve,0.401325447865354,6,1.53046700074635,331,Nerve
Ovary,0.328843456310011,6,1.39592045123019,110,Ovary
Pancreas,0.311504127056477,6,1.27028761061947,199,Pancreas
Pituitary,0.932058727702828,12,1.74012001454722,126,Pituitary
Prostate,0.169894592782303,3,0.962339098954143,121,Prostate
Salivary Gland,3.05791950032039,15,3.15991942940166,71,Salivary Gland
Skin,0.753624163585093,14,1.52390972996337,659,Skin
Small Intestine,2.03757395009341,13,2.60880551943967,103,Small Intestine
Spleen,10.0086698823312,41,3.50012043248644,118,Spleen
Stomach,0.137591973857245,3,0.864141231713924,206,Stomach
Testis,0.0080276713313354,10,0.574530805345757,203,Testis
Thyroid,1.28100667950771,9,2.36699554773814,360,Thyroid
Uterus,0.180724848461293,1,1.28311879860552,93,Uterus
Vagina,1.91011307837758,8,3.38743362831858,95,Vagina
