Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.512974282083656,3,2.33032996469013,610,Adipose Tissue
Adrenal Gland,0.115792220636052,3,1.16822315815174,159,Adrenal Gland
Artery,0.103877941200992,2,0.913011329755516,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.103877941200992,6,0.883998060090991,1401,Brain
Breast,0.1043776034011,3,1.05722808374303,215,Breast
Cervix Uteri,0.117729408337421,2,1.32468161683278,11,Cervix Uteri
Colon,1.2115855627558,4,5.44456297560629,377,Colon
Esophagus,0.236417598512009,3,1.50878990934174,790,Esophagus
Fallopian Tube,1.2115855627558,5,4.57914632979232,7,Fallopian Tube
Heart,0.512974282083656,5,1.74957949393009,486,Heart
Kidney,0.108298929677874,2,1.17284064099029,36,Kidney
Liver,0.707288955322701,5,2.41635734666566,141,Liver
Lung,0.707288955322701,5,2.3700373975283,374,Lung
Muscle,0.707288955322701,5,2.74748779787539,469,Muscle
Nerve,0.103877941200992,1,0.893761090875128,331,Nerve
Ovary,0.512974282083656,3,2.44556606184513,110,Ovary
Pancreas,0.707288955322701,4,2.96728682170543,199,Pancreas
Pituitary,0.103877941200992,2,1.01619411702241,126,Pituitary
Prostate,0.707288955322701,3,3.37191684284708,121,Prostate
Salivary Gland,0.512974282083656,3,2.21439315052644,71,Salivary Gland
Skin,0.512974282083656,5,1.90699667204719,659,Skin
Small Intestine,1.77767047952917,7,4.92203975164407,103,Small Intestine
Spleen,0.855820637857237,8,2.39297324331083,118,Spleen
Stomach,0.103877941200992,1,1.00928123187259,206,Stomach
Testis,0.0,2,0.402616936459352,203,Testis
Thyroid,0.0,0,0.0,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.512974282083656,2,2.96728682170543,95,Vagina
