Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Migraine,CALB1,Calbindin,47772,156,2.24 [1.65-3.04],1.96293942658052e-07
Chapter VI Diseases of the nervous system,Migraine,DSC2,Desmocollin-2,47464,159,2.62 [1.84-3.74],9.19570122080507e-08
Chapter VI Diseases of the nervous system,Migraine,FSTL1,Follistatin-related protein 1,40679,138,3.89 [2.27-6.69],8.497674992658045e-07
Chapter VI Diseases of the nervous system,Migraine,HAVCR2,Hepatitis A virus cellular receptor 2,48000,161,2.51 [1.77-3.55],2.201372217231232e-07
Chapter VI Diseases of the nervous system,Migraine,IL18BP,Interleukin-18-binding protein,48186,163,2.57 [1.76-3.74],8.758609530412427e-07
Chapter VI Diseases of the nervous system,Migraine,LGALS9,Galectin-9,47956,160,2.43 [1.66-3.56],5.484570851313401e-06
Chapter VI Diseases of the nervous system,Migraine,MRC1,Macrophage mannose receptor 1,41818,139,3.27 [1.99-5.37],2.992674819999228e-06
Chapter VI Diseases of the nervous system,Migraine,NXPH1,Neurexophilin-1,46870,157,1.72 [1.36-2.18],6.087358155155582e-06
Chapter VI Diseases of the nervous system,Migraine,PIGR,Polymeric immunoglobulin receptor,47384,157,2.23 [1.57-3.16],7.23474920643348e-06
Chapter VI Diseases of the nervous system,Migraine,PRND,Prion-like protein doppel,41685,141,1.85 [1.43-2.40],3.0340368888635065e-06
Chapter VI Diseases of the nervous system,Migraine,PRRT3,Proline-rich transmembrane protein 3,40679,138,2.66 [1.84-3.85],1.8742168864739533e-07
Chapter VI Diseases of the nervous system,Migraine,RNF149,E3 ubiquitin-protein ligase RNF149,40679,138,2.58 [1.72-3.88],4.973573397818914e-06
Chapter VI Diseases of the nervous system,Migraine,SCN4B,Sodium channel subunit beta-4,40679,138,2.21 [1.56-3.14],8.444616724549414e-06
Chapter VI Diseases of the nervous system,Migraine,TGOLN2,Trans-Golgi network integral membrane protein 2,41818,139,3.80 [2.16-6.66],3.3641061964199087e-06
Chapter VI Diseases of the nervous system,Migraine,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,48000,161,1.75 [1.43-2.14],6.318840563935273e-08
