Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other neurological diseases,NPC2,NPC intracellular cholesterol transporter 2,23823,107,2.70 [1.92-3.81],1.4082193805551016e-08
Chapter VI Diseases of the nervous system,Other neurological diseases,PRND,Prion-like protein doppel,24162,109,2.27 [1.73-2.99],4.541309966870824e-09
Chapter VI Diseases of the nervous system,Other neurological diseases,RYR1,Ryanodine receptor 1,23459,108,2.10 [1.61-2.73],3.9874628227586416e-08
