Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ADA2,Adenosine deaminase 2,17905,159,1.98 [1.48-2.64],3.561271300791783e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,18110,161,2.02 [1.36-2.98],0.0004282349040586
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,15591,141,2.32 [1.48-3.62],0.0002275664838647
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ADGRE1,Adhesion G protein-coupled receptor E1,15591,141,2.12 [1.64-2.75],1.0787287294208766e-08
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ADGRE5,Adhesion G protein-coupled receptor E5,18119,160,2.02 [1.34-3.06],0.0008467518230937
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,AGR2,Anterior gradient protein 2 homolog,17465,153,1.29 [1.11-1.49],0.0005921189510927
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ANXA10,Annexin A10,17589,153,1.36 [1.17-1.58],4.58108853822431e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ANXA11,Annexin A11,17925,161,0.72 [0.59-0.87],0.0009317624297304
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,B4GALT1,"Beta-1,4-galactosyltransferase 1",18039,160,2.31 [1.44-3.72],0.0005564346672857
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,BAMBI,BMP and activin membrane-bound inhibitor homolog,17569,156,1.97 [1.34-2.92],0.0006426512759739
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,BCAM,Basal cell adhesion molecule,17994,159,2.43 [1.45-4.07],0.0007737112804247
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,BGLAP,Osteocalcin,15666,142,1.44 [1.19-1.74],0.0002119687825245
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,BST2,Bone marrow stromal antigen 2,18141,161,1.68 [1.35-2.10],3.432073055567437e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,C1QA,Complement C1q subcomponent subunit A,18099,163,3.06 [1.81-5.18],3.0796618808339884e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CA9,Carbonic anhydrase 9,18141,161,2.18 [1.74-2.73],1.4492482159163059e-11
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CBLIF,Cobalamin binding intrinsic factor,17948,156,1.66 [1.38-2.00],1.3152609269544666e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CCL19,C-C motif chemokine 19,18141,161,1.18 [1.08-1.29],0.0001523684727517
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CCL20,C-C motif chemokine 20,18189,163,1.40 [1.24-1.57],2.51053310097862e-08
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CCL21,C-C motif chemokine 21,18039,160,1.79 [1.40-2.30],4.423087061212466e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD160,CD160 antigen,18189,163,1.83 [1.41-2.38],5.836715982169172e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD163,Scavenger receptor cysteine-rich type 1 protein M130,18073,160,1.67 [1.24-2.27],0.0008738273139813
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD274,Programmed cell death 1 ligand 1,17836,156,1.94 [1.40-2.69],7.935324557132494e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD28,T-cell-specific surface glycoprotein CD28,17569,156,1.70 [1.26-2.29],0.0004538074566765
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD300A,CMRF35-like molecule 8,15297,141,2.47 [1.51-4.02],0.0002965847946552
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD300C,CMRF35-like molecule 6,18141,161,2.22 [1.54-3.19],1.7606329452178294e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD300E,CMRF35-like molecule 2,18089,161,1.79 [1.33-2.43],0.0001459359960418
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD48,CD48 antigen,18012,160,2.66 [1.78-3.96],1.5264729041949252e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD5L,CD5 antigen-like,15578,141,1.74 [1.26-2.41],0.0007354342673469
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD70,CD70 antigen,17959,161,1.69 [1.27-2.26],0.0003805547422544
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD72,B-cell differentiation antigen CD72,15297,141,2.10 [1.56-2.83],9.214914057174214e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD74,HLA class II histocompatibility antigen gamma chain,18141,161,2.07 [1.44-2.99],9.990891646147224e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD80,T-lymphocyte activation antigen CD80,15654,143,2.37 [1.61-3.49],1.2887880239040564e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD83,CD83 antigen,17959,161,2.07 [1.44-2.95],7.274020957423989e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CD86,T-lymphocyte activation antigen CD86,15591,141,3.07 [1.88-5.03],8.246590105589632e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CGA,Glycoprotein hormones alpha chain,17994,159,1.64 [1.34-2.00],1.45100880555909e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CHGA,Chromogranin-A,15666,142,2.36 [2.10-2.66],1.5943761350724808e-46
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CKAP4,Cytoskeleton-associated protein 4,18098,163,2.23 [1.56-3.20],1.11119671158343e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CNTNAP2,Contactin-associated protein-like 2,17959,161,1.80 [1.35-2.41],6.135215453307677e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CR1,Complement receptor type 1,15607,141,2.09 [1.35-3.24],0.0009944367488016
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CRTAM,Cytotoxic and regulatory T-cell molecule,17836,156,1.79 [1.37-2.34],2.332664662639181e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CSF1,Macrophage colony-stimulating factor 1,18039,160,2.52 [1.57-4.05],0.0001336481047194
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CSF1R,Macrophage colony-stimulating factor 1 receptor,15663,141,1.90 [1.36-2.67],0.0001872422854137
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CTSZ,Cathepsin Z,18019,160,2.08 [1.36-3.18],0.0006754701775062
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,CXCL9,C-X-C motif chemokine 9,18039,160,1.59 [1.34-1.89],1.1346708872094289e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,DSC2,Desmocollin-2,17773,157,2.01 [1.37-2.94],0.0003213810498364
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,DSCAM,Down syndrome cell adhesion molecule,15618,141,2.10 [1.37-3.24],0.0007316085246207
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,EBI3_IL27,Interleukin-27,18121,161,2.59 [1.70-3.96],9.638350098579352e-06
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,EDA2R,Tumor necrosis factor receptor superfamily member 27,18141,161,1.70 [1.24-2.33],0.0009144970101313
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,EDAR,Tumor necrosis factor receptor superfamily member EDAR,17959,161,0.66 [0.56-0.78],5.627161819121831e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,EFNA4,Ephrin-A4,17805,156,1.90 [1.33-2.72],0.0004361317516537
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,EPHA2,Ephrin type-A receptor 2,17337,156,2.23 [1.54-3.23],2.3666727099033404e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,ERP44,Endoplasmic reticulum resident protein 44,17886,157,0.36 [0.20-0.63],0.0003755251959109
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,FOLR2,Folate receptor beta,18141,161,2.40 [1.51-3.80],0.0001926889683083
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,17669,160,1.75 [1.31-2.34],0.0001618217524216
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GAST,Gastrin,15599,140,1.71 [1.57-1.87],7.43897858359086e-34
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GDF15,Growth/differentiation factor 15,18205,161,1.77 [1.41-2.23],9.059231633908732e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GFRA1,GDNF family receptor alpha-1,18121,161,2.14 [1.38-3.32],0.0006338540122773
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GGT1,Glutathione hydrolase 1 proenzyme,17962,159,1.54 [1.21-1.97],0.0005288832838859
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GPC5,Glypican-5,17836,156,0.63 [0.49-0.82],0.0005231667415172
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,GRN,Progranulin,17897,159,2.57 [1.66-3.96],2.2228046622220337e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,HAVCR2,Hepatitis A virus cellular receptor 2,17994,159,1.91 [1.34-2.73],0.000370285961362
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,HLA-E,"HLA class I histocompatibility antigen, alpha chain E",17959,161,2.08 [1.38-3.13],0.0004982451168332
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,15227,139,2.39 [1.70-3.37],5.76264149580035e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL12B,Interleukin-12 subunit beta,18189,163,1.63 [1.28-2.08],7.302021319104887e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL12RB1,Interleukin-12 receptor subunit beta-1,17669,160,1.98 [1.39-2.84],0.000185017934543
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL15RA,Interleukin-15 receptor subunit alpha,17669,160,2.19 [1.48-3.22],7.92182385115204e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL18BP,Interleukin-18-binding protein,18073,160,2.70 [1.86-3.93],2.110864177135471e-07
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL1R1,Interleukin-1 receptor type 1,17962,159,3.15 [1.88-5.27],1.2932724298406292e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL2RA,Interleukin-2 receptor subunit alpha,17850,157,1.74 [1.29-2.34],0.0002392652131211
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IL6,Interleukin-6,17916,159,1.35 [1.18-1.54],1.5151896090613335e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,IQGAP2,Ras GTPase-activating-like protein IQGAP2,17916,159,0.61 [0.46-0.80],0.0004943332031423
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,KDR,Vascular endothelial growth factor receptor 2,18031,160,0.38 [0.24-0.62],0.0001168672611464
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,KLRB1,Killer cell lectin-like receptor subfamily B member 1,18189,163,2.04 [1.46-2.84],2.524521583518465e-05
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,KLRK1,NKG2-D type II integral membrane protein,15599,140,1.74 [1.27-2.39],0.0005668407163878
Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,LAMP3,Lysosome-associated membrane glycoprotein 3,18156,163,1.59 [1.24-2.04],0.0003094700326156
