Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Gastric ulcer,CCL16,C-C motif chemokine 16,18205,161,1.91 [1.44-2.53],7.872767586153257e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CCL20,C-C motif chemokine 20,18188,162,1.36 [1.20-1.53],1.2045145712052624e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CCL21,C-C motif chemokine 21,18039,160,1.77 [1.38-2.27],7.197678212941362e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CCL3,C-C motif chemokine 3,17959,161,1.29 [1.11-1.49],0.0008767416212602
Chapter XI Diseases of the digestive system,Gastric ulcer,CCL7,C-C motif chemokine 7,17959,161,1.61 [1.37-1.91],1.7899693249341022e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,CD14,Monocyte differentiation antigen CD14,17651,157,1.78 [1.28-2.47],0.0005942728301416
Chapter XI Diseases of the digestive system,Gastric ulcer,CD160,CD160 antigen,18188,162,1.58 [1.21-2.07],0.0008227766416604
Chapter XI Diseases of the digestive system,Gastric ulcer,CD163,Scavenger receptor cysteine-rich type 1 protein M130,18072,159,1.84 [1.37-2.47],5.9439570373986246e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,CD27,CD27 antigen,18030,159,1.68 [1.26-2.23],0.0003777248810982
Chapter XI Diseases of the digestive system,Gastric ulcer,CD274,Programmed cell death 1 ligand 1,17835,155,1.86 [1.30-2.65],0.0006399235471804
Chapter XI Diseases of the digestive system,Gastric ulcer,CD276,CD276 antigen,17949,160,2.59 [1.77-3.80],1.0894612271361698e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CD300E,CMRF35-like molecule 2,18091,163,2.21 [1.67-2.93],3.35797370126012e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,CD302,CD302 antigen,17917,160,2.72 [1.93-3.85],1.4333447743883328e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,CD4,T-cell surface glycoprotein CD4,17929,161,1.95 [1.36-2.78],0.0002435596135678
Chapter XI Diseases of the digestive system,Gastric ulcer,CD48,CD48 antigen,18012,160,2.88 [1.95-4.26],1.0131946305610601e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,CD5,T-cell surface glycoprotein CD5,18114,162,1.78 [1.33-2.37],9.616107464964328e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,CD59,CD59 glycoprotein,17346,154,2.41 [1.51-3.86],0.0002400145785355
Chapter XI Diseases of the digestive system,Gastric ulcer,CD7,T-cell antigen CD7,15144,124,1.73 [1.27-2.36],0.0005356574500948
Chapter XI Diseases of the digestive system,Gastric ulcer,CD74,HLA class II histocompatibility antigen gamma chain,18140,160,2.56 [1.80-3.64],1.5558303286716357e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,CD79B,B-cell antigen receptor complex-associated protein beta chain,18188,162,1.74 [1.36-2.22],1.1262355789116029e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,CD80,T-lymphocyte activation antigen CD80,15637,126,2.35 [1.57-3.52],3.693320054922523e-05
Chapter XI Diseases of the digestive system,Gastric ulcer,CD83,CD83 antigen,17959,161,2.62 [1.87-3.67],2.2424463596924256e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,CDCP1,CUB domain-containing protein 1,17835,155,1.74 [1.40-2.16],4.834755137157613e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,CDH2,Cadherin-2,17975,160,2.00 [1.38-2.89],0.0002467083423115
Chapter XI Diseases of the digestive system,Gastric ulcer,CGA,Glycoprotein hormones alpha chain,17991,156,1.73 [1.42-2.11],5.9383014687490686e-08
Chapter XI Diseases of the digestive system,Gastric ulcer,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",15588,129,1.96 [1.46-2.63],6.3810020824632806e-06
Chapter XI Diseases of the digestive system,Gastric ulcer,CHCHD6,MICOS complex subunit MIC25,15574,128,2.76 [1.95-3.89],7.871611552747805e-09
Chapter XI Diseases of the digestive system,Gastric ulcer,CHGA,Chromogranin-A,15651,127,2.18 [1.92-2.48],9.54015620752246e-33
Chapter XI Diseases of the digestive system,Gastric ulcer,CHI3L1,Chitinase-3-like protein 1,17612,158,1.47 [1.27-1.70],1.6298850956058244e-07
Chapter XI Diseases of the digestive system,Gastric ulcer,CKAP4,Cytoskeleton-associated protein 4,18097,162,2.59 [1.82-3.69],1.235754426900295e-07
