Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Dental caries,IL15,Interleukin-15,27463,266,1.58 [1.16-2.14],0.0034875666696693
Chapter XI Diseases of the digestive system,Dental caries,IL17C,Interleukin-17C,26969,270,1.25 [1.08-1.44],0.0025856615264739
Chapter XI Diseases of the digestive system,Dental caries,IL18R1,Interleukin-18 receptor 1,27809,271,1.51 [1.11-2.05],0.0087662920682478
Chapter XI Diseases of the digestive system,Dental caries,IL19,Interleukin-19,26809,260,1.33 [1.16-1.53],5.538164300040494e-05
Chapter XI Diseases of the digestive system,Dental caries,IL1RN,Interleukin-1 receptor antagonist protein,27399,270,1.27 [1.07-1.50],0.00581751664019
Chapter XI Diseases of the digestive system,Dental caries,IL2RA,Interleukin-2 receptor subunit alpha,27292,268,1.60 [1.25-2.06],0.0002484770171564
Chapter XI Diseases of the digestive system,Dental caries,IL6,Interleukin-6,27362,270,1.32 [1.18-1.46],4.897337899494482e-07
Chapter XI Diseases of the digestive system,Dental caries,IL7R,Interleukin-7 receptor subunit alpha,27460,269,0.72 [0.59-0.87],0.000953966822355
Chapter XI Diseases of the digestive system,Dental caries,IMMT,MICOS complex subunit MIC60,23761,234,1.37 [1.08-1.72],0.0083493911874886
Chapter XI Diseases of the digestive system,Dental caries,INHBB,Inhibin beta B chain,23341,226,1.49 [1.18-1.88],0.0009483200134699
Chapter XI Diseases of the digestive system,Dental caries,ITGAV,Integrin alpha-V,27724,272,0.35 [0.19-0.64],0.0006964846912082
Chapter XI Diseases of the digestive system,Dental caries,ITPA,Inosine triphosphate pyrophosphatase,23123,227,1.27 [1.06-1.51],0.009840318119322
Chapter XI Diseases of the digestive system,Dental caries,JUN,Transcription factor AP-1,26969,270,1.28 [1.10-1.50],0.001573557629557
Chapter XI Diseases of the digestive system,Dental caries,KIT,Mast/stem cell growth factor receptor Kit,27517,273,0.61 [0.43-0.88],0.0071399912779639
Chapter XI Diseases of the digestive system,Dental caries,KLK13,Kallikrein-13,26861,262,1.57 [1.23-2.00],0.0002415806274317
Chapter XI Diseases of the digestive system,Dental caries,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,27453,273,1.40 [1.12-1.74],0.0026695302839678
Chapter XI Diseases of the digestive system,Dental caries,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2,27293,263,1.23 [1.10-1.38],0.0003059149987063
Chapter XI Diseases of the digestive system,Dental caries,LAMP3,Lysosome-associated membrane glycoprotein 3,27761,269,1.49 [1.23-1.81],5.0756703944418354e-05
Chapter XI Diseases of the digestive system,Dental caries,LELP1,Late cornified envelope-like proline-rich protein 1,23117,229,0.75 [0.61-0.92],0.0061121371901773
Chapter XI Diseases of the digestive system,Dental caries,LETM1,Mitochondrial proton/calcium exchanger protein,23844,233,1.35 [1.09-1.66],0.0050761150257796
