Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEMA4D,Semaphorin-4D,26114,143,2.40 [1.46-3.94],0.0005393026309503
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEMA6C,Semaphorin-6C,21938,122,1.00 [0.52-1.92],0.9921141043389172
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEMA7A,Semaphorin-7A,26133,143,1.07 [0.62-1.86],0.7996225156589855
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEPTIN3,Neuronal-specific septin-3,22551,127,1.18 [0.96-1.46],0.1213250948823944
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEPTIN7,Septin-7,22159,126,1.35 [1.09-1.67],0.0054977146062776
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEPTIN8,Septin-8,22489,126,1.36 [0.85-2.19],0.2035681536181888
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEPTIN9,Septin-9,25777,141,1.07 [0.64-1.78],0.7999587944382685
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA1,Alpha-1-antitrypsin,22194,123,4.67 [0.75-29.14],0.0989728202850908
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA11,Serpin A11,26217,143,1.27 [0.88-1.84],0.1975187045312309
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA12,Serpin A12,25148,140,1.00 [0.87-1.15],0.9843039845948688
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA3,Alpha-1-antichymotrypsin,22528,124,5.14 [2.10-12.57],0.0003378942598698
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA4,Kallistatin,22193,124,0.67 [0.33-1.37],0.2713603242653976
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA5,Plasma serine protease inhibitor,22283,124,1.06 [0.64-1.76],0.8142347201198303
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA6,Corticosteroid-binding globulin,22621,124,0.59 [0.22-1.58],0.2938082836739236
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA7,Thyroxine-binding globulin,22621,124,1.28 [0.52-3.15],0.5874604018640133
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINA9,Serpin A9,25641,139,0.93 [0.75-1.14],0.4742048745491986
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINB1,Leukocyte elastase inhibitor,25807,143,1.17 [1.00-1.37],0.0460786112468434
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINB5,Serpin B5,25414,136,0.97 [0.71-1.32],0.8442016811292437
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINB6,Serpin B6,26034,143,1.24 [0.97-1.58],0.0798850267149392
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINB8,Serpin B8,26167,142,1.26 [1.02-1.54],0.0298947897552545
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINB9,Serpin B9,25713,140,1.13 [0.73-1.76],0.5749844602224965
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINC1,Antithrombin-III,22570,124,1.18 [0.37-3.76],0.7769479884220196
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPIND1,Heparin cofactor 2,22570,124,2.80 [1.54-5.10],0.0007493001689384
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINE1,Plasminogen activator inhibitor 1,26217,143,1.65 [1.31-2.07],1.943963419977936e-05
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINE2,Glia-derived nexin,22580,127,1.67 [1.30-2.13],5.0813764538148207e-05
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINF1,Pigment epithelium-derived factor,22281,122,1.28 [0.66-2.46],0.4679541554482685
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINF2,Alpha-2-antiplasmin,22190,123,2.03 [0.59-7.01],0.2627003809414385
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPING1,Plasma protease C1 inhibitor,22570,124,1.86 [0.75-4.64],0.1819086754294621
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINH1,Serpin H1,22159,126,1.23 [1.08-1.41],0.0018775511646203
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINI1,Neuroserpin,22049,125,0.69 [0.39-1.23],0.2130662573061074
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SERPINI2,Serpin I2,22460,126,0.97 [0.71-1.31],0.8359298430434864
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SESTD1,SEC14 domain and spectrin repeat-containing protein 1,25259,140,1.05 [0.83-1.32],0.6894124574906892
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SETMAR,Histone-lysine N-methyltransferase SETMAR,25639,138,1.60 [1.02-2.50],0.0394665624565098
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEZ6,Seizure protein 6 homolog,21959,124,0.57 [0.31-1.03],0.0626856480746888
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEZ6L,Seizure 6-like protein,25985,142,0.67 [0.39-1.16],0.1509761025433461
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SEZ6L2,Seizure 6-like protein 2,25777,141,1.06 [0.56-1.98],0.8671037271275926
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SF3B4,Splicing factor 3B subunit 4,25777,141,1.30 [1.08-1.57],0.0058529937066908
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SFRP1,Secreted frizzled-related protein 1,25632,139,1.56 [1.16-2.11],0.0035537854006003
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SFRP4,Secreted frizzled-related protein 4,22091,126,0.86 [0.57-1.29],0.4641871371033497
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SFTPA1,Pulmonary surfactant-associated protein A1,25275,135,1.17 [0.94-1.47],0.1594316933375617
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SFTPA2,Pulmonary surfactant-associated protein A2,25275,135,0.91 [0.67-1.24],0.5576747448614139
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SFTPD,Pulmonary surfactant-associated protein D,25898,143,1.05 [0.84-1.31],0.6792598633826139
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SGSH,N-sulphoglucosamine sulphohydrolase,22190,126,1.03 [0.76-1.40],0.8418041085563706
Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",SH2B3,SH2B adapter protein 3,25275,135,1.07 [0.92-1.26],0.3768561642619397
