Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TNFSF12,Tumor necrosis factor ligand superfamily member 12,23948,130,0.53 [0.31-0.91],0.022111542092877
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TNIP1,TNFAIP3-interacting protein 1,20621,116,0.80 [0.65-0.98],0.0312984073026184
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TNXB,Tenascin-X,23713,130,0.44 [0.24-0.78],0.0052998125265463
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TOP1,DNA topoisomerase 1,20559,119,0.80 [0.68-0.95],0.0119419964937289
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TRAF2,TNF receptor-associated factor 2,23671,130,0.71 [0.56-0.89],0.0030004191118636
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TRIM25,E3 ubiquitin/ISG15 ligase TRIM25,20559,119,0.82 [0.70-0.96],0.0159252475433394
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TRIM58,E3 ubiquitin-protein ligase TRIM58,20551,118,0.78 [0.64-0.96],0.0181728019374437
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TSPAN8,Tetraspanin-8,20559,119,0.83 [0.70-0.98],0.0329889005198757
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TTF2,Transcription termination factor 2,20082,113,0.67 [0.45-0.99],0.0468451707709892
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,TXNRD1,"Thioredoxin reductase 1, cytoplasmic",23713,130,0.66 [0.46-0.94],0.0201688768081151
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,VEGFC,Vascular endothelial growth factor C,23800,130,0.74 [0.57-0.98],0.034718308104729
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,VSIG2,V-set and immunoglobulin domain-containing protein 2,20551,118,2.11 [1.68-2.65],1.8023976772920163e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,VSNL1,Visinin-like protein 1,20621,116,0.54 [0.32-0.90],0.0190690693346611
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,VTA1,Vacuolar protein sorting-associated protein VTA1 homolog,23913,130,0.80 [0.65-1.00],0.0455564710910628
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,WARS,"Tryptophan--tRNA ligase, cytoplasmic",23713,130,0.66 [0.44-1.00],0.0476311645881191
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,WASF3,Wiskott-Aldrich syndrome protein family member 3,23152,127,0.83 [0.69-0.99],0.0356225104076459
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,WFDC12,WAP four-disulfide core domain protein 12,23876,129,0.75 [0.59-0.97],0.0252711828442729
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trochanteric bursitis,XPNPEP2,Xaa-Pro aminopeptidase 2,23800,130,0.77 [0.65-0.92],0.0029273210520655
