Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
MLLT1,Protein ENL,Chapter VI Diseases of the nervous system,Memory loss,23632,64,1.39 [1.09-1.76],0.0071352581893457
MLLT1,Protein ENL,Chapter X Diseases of the respiratory system,Pleural effusion,23036,516,1.18 [1.06-1.30],0.0018468026579292
MLLT1,Protein ENL,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other disorders of the musculoskeletal system and connective tissue,23719,74,0.56 [0.37-0.85],0.0060203664417048
