Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XI Diseases of the digestive system,Other diseases of pancreas,BSG,Basigin,21321,214,4.71 [2.81-7.88],4.0019672199168485e-09
Chapter XI Diseases of the digestive system,Other diseases of pancreas,BTN2A1,Butyrophilin subfamily 2 member A1,21233,216,3.49 [2.46-4.94],2.062913234237856e-12
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD160,CD160 antigen,21352,215,1.98 [1.58-2.48],2.531324044989585e-09
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD27,CD27 antigen,21227,215,1.98 [1.55-2.53],5.951525587748565e-08
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD300C,CMRF35-like molecule 6,21316,218,2.61 [1.92-3.57],1.4037997629294771e-09
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD300E,CMRF35-like molecule 2,21241,216,2.24 [1.75-2.88],2.612293985489211e-10
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD302,CD302 antigen,21054,218,2.76 [2.01-3.77],2.5288422581312776e-10
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD59,CD59 glycoprotein,20405,210,3.23 [2.27-4.61],8.096066128208473e-11
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD74,HLA class II histocompatibility antigen gamma chain,21316,218,2.86 [2.14-3.84],1.807907567896121e-12
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CD83,CD83 antigen,21093,215,2.51 [1.86-3.40],2.280049925853912e-09
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CKAP4,Cytoskeleton-associated protein 4,21258,213,2.80 [2.12-3.70],4.35626278739481e-13
Chapter XI Diseases of the digestive system,Other diseases of pancreas,COL6A3,Collagen alpha-3(VI) chain,21407,219,2.52 [1.91-3.33],5.228785409585167e-11
Chapter XI Diseases of the digestive system,Other diseases of pancreas,COLEC12,Collectin-12,21136,216,3.56 [2.42-5.23],1.0708146383965283e-10
Chapter XI Diseases of the digestive system,Other diseases of pancreas,CSF1,Macrophage colony-stimulating factor 1,21233,216,3.69 [2.52-5.40],2.1421173211374128e-11
Chapter XI Diseases of the digestive system,Other diseases of pancreas,DLL1,Delta-like protein 1,21227,215,2.82 [1.99-4.00],5.6333021281495024e-09
