Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,DNER,Delta and Notch-like epidermal growth factor-related receptor,10278,1032,0.52 [0.41-0.65],1.3923890679470306e-08
Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,SPRR3,Small proline-rich protein 3,8987,888,1.29 [1.19-1.41],3.529930637122048e-09
