Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,AREG,Amphiregulin,19701,712,1.63 [1.42-1.87],2.270934078626004e-12
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,CA12,Carbonic anhydrase 12,19701,712,1.78 [1.48-2.16],1.8606718948764407e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,CD276,CD276 antigen,19803,724,1.78 [1.48-2.14],1.203960039794561e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,CDCP1,CUB domain-containing protein 1,19613,706,1.44 [1.28-1.61],8.960808469016981e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",17239,578,1.58 [1.34-1.87],5.730599094351023e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,CHGA,Chromogranin-A,17273,584,1.24 [1.16-1.33],5.916027028457917e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,COL6A3,Collagen alpha-3(VI) chain,20037,727,1.68 [1.42-1.98],1.544820241361572e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,COL9A1,Collagen alpha-1(IX) chain,19743,719,1.65 [1.46-1.86],1.3148406451020328e-15
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,DCN,Decorin,19402,701,3.24 [2.51-4.18],2.237834221187275e-19
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,DTNB,Dystrobrevin beta,17142,576,1.70 [1.44-2.00],2.3711887341366193e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,EDA2R,Tumor necrosis factor receptor superfamily member 27,19957,725,1.83 [1.58-2.12],1.9728073252337666e-15
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,FABP3,"Fatty acid-binding protein, heart",17257,585,1.55 [1.36-1.77],1.4365459824211935e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,GAST,Gastrin,17239,578,1.15 [1.10-1.21],8.577633563390961e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,GDF15,Growth/differentiation factor 15,20037,727,1.53 [1.35-1.74],4.6663614902209276e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,GSR,"Glutathione reductase, mitochondrial",17169,587,2.54 [1.81-3.56],7.109389948405886e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,HSPB6,Heat shock protein beta-6,19957,725,1.82 [1.56-2.12],2.5680876543990132e-14
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,IL15,Interleukin-15,19743,719,1.71 [1.42-2.07],1.8280905547941636e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MB,Myoglobin,20037,727,1.39 [1.24-1.55],1.0761636566443548e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MERTK,Tyrosine-protein kinase Mer,19989,724,2.05 [1.61-2.62],8.587629664709768e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MMP12,Macrophage metalloelastase,19795,715,1.42 [1.26-1.60],4.915469116452114e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MMP3,Stromelysin-1,19823,719,1.41 [1.24-1.59],8.786176920459205e-08
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYBPC1,"Myosin-binding protein C, slow-type",17257,585,1.35 [1.22-1.49],3.431574969984916e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYL3,Myosin light chain 3,16832,567,1.41 [1.27-1.57],2.0298004599643136e-10
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYOM3,Myomesin-3,16903,569,1.34 [1.23-1.46],1.2616530023166538e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,NCS1,Neuronal calcium sensor 1,19957,725,2.14 [1.71-2.66],1.6666421267460364e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,NEFL,Neurofilament light polypeptide,19276,701,1.84 [1.62-2.08],6.068441609171351e-22
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,NOS1,"Nitric oxide synthase, brain",19340,702,1.46 [1.30-1.63],4.1845359182565255e-11
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,PLAUR,Urokinase plasminogen activator surface receptor,19671,723,1.99 [1.58-2.50],3.176250813522711e-09
