Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20601.Liking for aniseed,ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,36100,-0.140393257004132,0.0555418059548482,-0.249255196675635,-0.0315313173326298,0.0115032492723541
Diet and food preferences,X20601.Liking for aniseed,LSP1,Lymphocyte-specific protein 1,36229,-0.116866725534865,0.046394959364288,-0.207800845888869,-0.0259326051808602,0.0117924494080485
Diet and food preferences,X20601.Liking for aniseed,GFAP,Glial fibrillary acidic protein,36088,-0.103477084627543,0.0411988780320476,-0.184226885570356,-0.0227272836847294,0.0120395865551627
Diet and food preferences,X20601.Liking for aniseed,CHRDL1,Chordin-like protein 1,36278,-0.157419438912819,0.0633761410742227,-0.281636675418296,-0.0332022024073425,0.0130185225855916
Diet and food preferences,X20601.Liking for aniseed,PDRG1,p53 and DNA damage-regulated protein 1,35204,-0.0993586756289401,0.0400293312466717,-0.177816164872417,-0.0209011863854636,0.0130864972514199
Diet and food preferences,X20601.Liking for aniseed,TCP11,T-complex protein 11 homolog,35247,0.094598674438972,0.0381144734788497,0.0198943064204267,0.169303042457517,0.0130930851631565
Diet and food preferences,X20601.Liking for aniseed,SPINK2,Serine protease inhibitor Kazal-type 2,35224,-0.153502705007967,0.061849388547723,-0.274727506561504,-0.0322779034544297,0.0130962308728893
Diet and food preferences,X20601.Liking for aniseed,SUOX,"Sulfite oxidase, mitochondrial",35355,-0.0898530565591819,0.0362095117960286,-0.160823699679398,-0.0188824134389658,0.0131104379430686
Diet and food preferences,X20601.Liking for aniseed,MORF4L2,Mortality factor 4-like protein 2,35148,-0.146433945866012,0.0593197360575662,-0.262700628538842,-0.0301672631931823,0.0135939582239803
Diet and food preferences,X20601.Liking for aniseed,RNF149,E3 ubiquitin-protein ligase RNF149,35207,-0.183927466918565,0.075022057756723,-0.330970700121742,-0.0368842337153874,0.0142487702836582
Diet and food preferences,X20601.Liking for aniseed,PTPRS,Receptor-type tyrosine-protein phosphatase S,36350,-0.19064654487391,0.0778594304312063,-0.343251028519074,-0.0380420612287453,0.0143651516944949
Diet and food preferences,X20601.Liking for aniseed,CRTAP,Cartilage-associated protein,35204,-0.10821248403483,0.0448713975377235,-0.196160423208768,-0.0202645448608916,0.015911927161461
Diet and food preferences,X20601.Liking for aniseed,LYAR,Cell growth-regulating nucleolar protein,36100,-0.0859263221658759,0.0360123965146363,-0.156510619334563,-0.0153420249971887,0.0170586103110716
Diet and food preferences,X20601.Liking for aniseed,HNF1A,Hepatocyte nuclear factor 1-alpha,35204,-0.0745350777347338,0.0314692773297791,-0.136214861301101,-0.0128552941683668,0.0178917342372664
Diet and food preferences,X20601.Liking for aniseed,CLEC4A,C-type lectin domain family 4 member A,36229,-0.128650961521505,0.0543379556403161,-0.235153354576525,-0.0221485684664857,0.0179304408111851
Diet and food preferences,X20601.Liking for aniseed,GRSF1,G-rich sequence factor 1,35114,-0.0662666018037471,0.0280316656643111,-0.121208666505797,-0.0113245371016973,0.0181114136883182
Diet and food preferences,X20601.Liking for aniseed,IL1RL2,Interleukin-1 receptor-like 2,36110,-0.120437701301779,0.0509685139556833,-0.220335988654918,-0.0205394139486397,0.0181560822455593
Diet and food preferences,X20601.Liking for aniseed,ACP6,Lysophosphatidic acid phosphatase type 6,36310,-0.0639611808023126,0.0272207339314082,-0.117313819307873,-0.0106085422967525,0.0188146034335631
Diet and food preferences,X20601.Liking for aniseed,PAFAH1B3,Platelet-activating factor acetylhydrolase IB subunit alpha1,35355,-0.0431962744891936,0.0183916050687611,-0.0792438204239655,-0.00714872855442179,0.0188707954602917
Diet and food preferences,X20601.Liking for aniseed,TSPAN7,Tetraspanin-7,35168,-0.0551685872340555,0.0235012190021856,-0.101230976478339,-0.00910619798977164,0.0189335134138666
Diet and food preferences,X20601.Liking for aniseed,FGA,Fibrinogen alpha chain,35219,-0.173917941355409,0.0744051161412608,-0.31975196899228,-0.0280839137185379,0.0194486259970012
Diet and food preferences,X20601.Liking for aniseed,FOLR1,Folate receptor alpha,36266,-0.159755661697998,0.0684174862677442,-0.293853934782777,-0.0256573886132196,0.0195706500561935
