Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20719.Liking for sausages (meat),OXCT1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",35207,-0.106317159493892,0.0329793855802267,-0.170956755231136,-0.0416775637566474,0.00127202293575675
Diet and food preferences,X20719.Liking for sausages (meat),PTS,6-pyruvoyl tetrahydrobiopterin synthase,36054,0.116438158665039,0.0364867374078795,0.0449241533455951,0.187952163984483,0.00142300012252917
Diet and food preferences,X20719.Liking for sausages (meat),CD58,Lymphocyte function-associated antigen 3,36254,-0.344843468569501,0.108642544730445,-0.557782856241174,-0.131904080897828,0.00150942544469136
Diet and food preferences,X20719.Liking for sausages (meat),CIRBP,Cold-inducible RNA-binding protein,35325,-0.0742219842585861,0.0233965861281001,-0.120079293069662,-0.0283646754475098,0.0015196198279164
Diet and food preferences,X20719.Liking for sausages (meat),MCAM,Cell surface glycoprotein MUC18,36292,-0.185114265530999,0.058545263017579,-0.299862981045453,-0.0703655500165439,0.0015740425470253
Diet and food preferences,X20719.Liking for sausages (meat),APOA2,Apolipoprotein A-II,35359,-0.147176439166936,0.0467853775838175,-0.238875779231218,-0.055477099102654,0.0016643473220212
Diet and food preferences,X20719.Liking for sausages (meat),NFU1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",35325,-0.0682070518707996,0.0217488566409447,-0.110834810887051,-0.0255792928545479,0.00172009543992429
Diet and food preferences,X20719.Liking for sausages (meat),AOC3,Membrane primary amine oxidase,36292,-0.203825644187998,0.065159711429721,-0.331538678590252,-0.0761126097857451,0.00176657468230759
Diet and food preferences,X20719.Liking for sausages (meat),SHBG,Sex hormone-binding globulin,35359,-0.140628784529419,0.0453376313436643,-0.229490541963001,-0.0517670270958371,0.00193210765076667
Diet and food preferences,X20719.Liking for sausages (meat),MNDA,Myeloid cell nuclear differentiation antigen,36231,0.0580978108569166,0.0187669441030534,0.021314600414932,0.0948810212989011,0.00197086685111788
Diet and food preferences,X20719.Liking for sausages (meat),PCBD1,Pterin-4-alpha-carbinolamine dehydratase,35215,0.15620387011426,0.0508770741470892,0.0564848047859648,0.255922935442555,0.0021485487036262
Diet and food preferences,X20719.Liking for sausages (meat),SIGLEC8,Sialic acid-binding Ig-like lectin 8,35207,0.155660158635511,0.0510378002731859,0.0556260701000665,0.255694247170955,0.00229916334203462
Diet and food preferences,X20719.Liking for sausages (meat),ASRGL1,Isoaspartyl peptidase/L-asparaginase,35207,-0.06770496032158,0.022211066385511,-0.111238650437181,-0.0241712702059784,0.00231177522152601
Diet and food preferences,X20719.Liking for sausages (meat),SORD,Sorbitol dehydrogenase,36294,0.0900625422800629,0.0295782229628375,0.0320892252729015,0.148035859287224,0.00233616811212576
Diet and food preferences,X20719.Liking for sausages (meat),MMP9,Matrix metalloproteinase-9,36242,0.0964088935049415,0.031683202071124,0.0343098174455386,0.158507969564344,0.00235172409440769
Diet and food preferences,X20719.Liking for sausages (meat),HAO1,Hydroxyacid oxidase 1,36318,0.0476914415684562,0.0157207886866879,0.0168786957425478,0.0785041873943645,0.00242482724930573
Diet and food preferences,X20719.Liking for sausages (meat),ALPP,"Alkaline phosphatase, placental type",36216,0.0591303277701209,0.0195228003859804,0.0208656390135993,0.0973950165266425,0.00246434489225234
Diet and food preferences,X20719.Liking for sausages (meat),GFRA2,GDNF family receptor alpha-2,36216,-0.274510079034834,0.0907949512249201,-0.452468183435677,-0.0965519746339904,0.0025084966978319
Diet and food preferences,X20719.Liking for sausages (meat),KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,36216,-0.130215441138537,0.0430934618534191,-0.214678626371239,-0.0457522559058358,0.00252267885103249
Diet and food preferences,X20719.Liking for sausages (meat),APCS,Serum amyloid P-component,35302,0.199571530052799,0.066178906256329,0.0698608737903937,0.329282186315203,0.0025749673934804
Diet and food preferences,X20719.Liking for sausages (meat),DCXR,L-xylulose reductase,36292,0.110579487913164,0.0371215874574258,0.0378211764966091,0.183337799329718,0.00290316528500517
Diet and food preferences,X20719.Liking for sausages (meat),CREG1,Protein CREG1,36170,0.153819987000218,0.0516374568756552,0.0526105715239341,0.255029402476503,0.0029033441953891
Diet and food preferences,X20719.Liking for sausages (meat),BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,36100,0.0919720308413947,0.0309881155964326,0.0312353242723867,0.152708737410403,0.00300796306549485
Diet and food preferences,X20719.Liking for sausages (meat),POF1B,Protein POF1B,35166,-0.153844201193292,0.0518360778617776,-0.255442913802376,-0.0522454885842077,0.00301035402873521
Diet and food preferences,X20719.Liking for sausages (meat),CASQ2,Calsequestrin-2,35142,-0.14587611417069,0.0493196742355652,-0.242542675672398,-0.0492095526689821,0.00311097361880043
Diet and food preferences,X20719.Liking for sausages (meat),CHL1,Neural cell adhesion molecule L1-like protein,36283,-0.188754284668276,0.0638355473046742,-0.313871957385438,-0.063636611951115,0.00311791507770643
Diet and food preferences,X20719.Liking for sausages (meat),GP1BA,Platelet glycoprotein Ib alpha chain,36225,-0.171815443461124,0.0582280286805497,-0.285942379675001,-0.0576885072472466,0.00318066915896038
Diet and food preferences,X20719.Liking for sausages (meat),MAPKAPK2,MAP kinase-activated protein kinase 2,35247,-0.0896584544801759,0.030468758598005,-0.149377221332266,-0.029939687628086,0.00326668161685586
Diet and food preferences,X20719.Liking for sausages (meat),TWF2,Twinfilin-2,35366,-0.0776642956388586,0.0264129198478646,-0.129433618540673,-0.025894972737044,0.00329017441808547
Diet and food preferences,X20719.Liking for sausages (meat),SMPD1,Sphingomyelin phosphodiesterase,36299,0.117977170791653,0.0403452985300841,0.0389003856726885,0.197053955910618,0.00346450559975277
Diet and food preferences,X20719.Liking for sausages (meat),GNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,36100,-0.0878175542117097,0.0300421007608715,-0.146700071703018,-0.0289350367204017,0.00347636478833503
Diet and food preferences,X20719.Liking for sausages (meat),IL18R1,Interleukin-18 receptor 1,36327,0.168243820573145,0.0576346986027181,0.0552798113118171,0.281207829834472,0.00352096415849787
Diet and food preferences,X20719.Liking for sausages (meat),FOLR1,Folate receptor alpha,36266,-0.201996426907079,0.0692049346058549,-0.337638098734554,-0.0663547550796031,0.00352473636039672
Diet and food preferences,X20719.Liking for sausages (meat),CD46,Membrane cofactor protein,36213,-0.200017312509127,0.0686680402062521,-0.334606671313381,-0.0654279537048728,0.00359317462993667
Diet and food preferences,X20719.Liking for sausages (meat),ACOT13,Acyl-coenzyme A thioesterase 13,35325,-0.0573637973625218,0.0196943732357462,-0.0959647689045843,-0.0187628258204592,0.00359614337411332
Diet and food preferences,X20719.Liking for sausages (meat),FSTL1,Follistatin-related protein 1,35207,-0.297163374887093,0.102338953770993,-0.497747724278239,-0.0965790254959477,0.00370105416765682
Diet and food preferences,X20719.Liking for sausages (meat),NT5E,5'-nucleotidase,36292,0.0987101430597263,0.0340583958203167,0.0319556872519057,0.165464598867547,0.00376387845868044
Diet and food preferences,X20719.Liking for sausages (meat),C1QA,Complement C1q subcomponent subunit A,36289,-0.252059533817245,0.0870953267454781,-0.422766374238383,-0.0813526933961083,0.00381449796375909
