Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TROCHANTERICBURSITIS,VSIG2,V-set and immunoglobulin domain-containing protein 2,Wald ratio,1,0.98 [0.94-1.02],0.280460219149965,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TROCHANTERICBURSITIS,CHGA,Chromogranin-A,Wald ratio,1,0.99 [0.95-1.03],0.684340202378179,trans
