Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_HAMMERTOE,CBLN4,Cerebellin-4,Inverse variance weighted,2,0.86 [0.77-0.96],0.00956280898024531,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_HAMMERTOE,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,1.11 [1.02-1.22],0.016633848160133,trans
