Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XI Diseases of the digestive system,K11_CARIES,SERPINF1,Pigment epithelium-derived factor,Wald ratio,1,1.07 [0.97-1.19],0.157462493392304,trans
Chapter XI Diseases of the digestive system,K11_CARIES,AREG,Amphiregulin,Wald ratio,1,1.05 [0.94-1.16],0.382605730870753,trans
Chapter XI Diseases of the digestive system,K11_CARIES,RELT,Tumor necrosis factor receptor superfamily member 19L,Wald ratio,1,1.04 [0.95-1.14],0.426464496906445,trans
Chapter XI Diseases of the digestive system,K11_CARIES,CD300E,CMRF35-like molecule 2,Wald ratio,1,1.04 [0.94-1.14],0.436119813653549,trans
Chapter XI Diseases of the digestive system,K11_CARIES,GDF15,Growth/differentiation factor 15,Wald ratio,1,1.03 [0.95-1.12],0.490102642941443,trans
Chapter XI Diseases of the digestive system,K11_CARIES,CSF1,Macrophage colony-stimulating factor 1,Wald ratio,1,1.04 [0.93-1.15],0.509452649984645,trans
Chapter XI Diseases of the digestive system,K11_CARIES,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,Wald ratio,1,0.97 [0.88-1.07],0.559278681554174,trans
Chapter XI Diseases of the digestive system,K11_CARIES,FABP4,"Fatty acid-binding protein, adipocyte",Wald ratio,1,0.97 [0.88-1.07],0.576766590641431,trans
Chapter XI Diseases of the digestive system,K11_CARIES,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Wald ratio,1,1.03 [0.93-1.14],0.613372411328025,trans
Chapter XI Diseases of the digestive system,K11_CARIES,WFDC2,WAP four-disulfide core domain protein 2,Wald ratio,1,1.02 [0.93-1.13],0.668990347765763,trans
Chapter XI Diseases of the digestive system,K11_CARIES,PGF,Placenta growth factor,Wald ratio,1,0.98 [0.9-1.08],0.740565194617927,trans
Chapter XI Diseases of the digestive system,K11_CARIES,IGFBP4,Insulin-like growth factor-binding protein 4,Wald ratio,1,1.02 [0.92-1.12],0.746888228327116,trans
Chapter XI Diseases of the digestive system,K11_CARIES,RNASE1,Ribonuclease pancreatic,Wald ratio,1,0.98 [0.89-1.09],0.761888419859656,trans
Chapter XI Diseases of the digestive system,K11_CARIES,SHISA5,Protein shisa-5,Wald ratio,1,0.99 [0.89-1.09],0.786509672923078,trans
Chapter XI Diseases of the digestive system,K11_CARIES,YAP1,Transcriptional coactivator YAP1,Wald ratio,1,1.01 [0.92-1.11],0.883233363575375,trans
Chapter XI Diseases of the digestive system,K11_CARIES,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Wald ratio,1,1.01 [0.92-1.1],0.895127929060907,trans
