Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter VI Diseases of the nervous system,G6_XTRAPYROTH,NECTIN2,Nectin-2,Wald ratio,1,0.93 [0.81-1.07],0.312152669718459,trans
Chapter VI Diseases of the nervous system,G6_XTRAPYROTH,GDF15,Growth/differentiation factor 15,Wald ratio,1,0.96 [0.85-1.07],0.443528956141524,trans
Chapter VI Diseases of the nervous system,G6_XTRAPYROTH,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Wald ratio,1,0.98 [0.86-1.11],0.738332393669773,trans
