Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Acute pancreatitis,CHGA,Chromogranin-A,Inverse variance weighted,8,0.91 [0.78-1.07],0.261545338778577
Chapter XI Diseases of the digestive system,Acute pancreatitis,CD300A,CMRF35-like molecule 8,Inverse variance weighted,35,1.06 [0.98-1.14],0.12988124381221
Chapter XI Diseases of the digestive system,Acute pancreatitis,VSIG2,V-set and immunoglobulin domain-containing protein 2,Inverse variance weighted,5,1.00 [0.86-1.18],0.965170686419847
Chapter XI Diseases of the digestive system,Acute pancreatitis,TFF2,Trefoil factor 2,Inverse variance weighted,16,1.00 [0.86-1.16],0.979797113952551
Chapter XI Diseases of the digestive system,Acute pancreatitis,PGA4,Pepsin A-4,Inverse variance weighted,9,1.18 [0.91-1.52],0.208133620176616
Chapter XI Diseases of the digestive system,Acute pancreatitis,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,Inverse variance weighted,17,0.97 [0.88-1.07],0.544034690508284
Chapter XI Diseases of the digestive system,Acute pancreatitis,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,1.01 [0.80-1.27],0.958660848591074
Chapter XI Diseases of the digestive system,Acute pancreatitis,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,35,1.01 [0.94-1.08],0.809495953940769
Chapter XI Diseases of the digestive system,Acute pancreatitis,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,0.99 [0.95-1.04],0.664511306864387
Chapter XI Diseases of the digestive system,Acute pancreatitis,GAST,Gastrin,Inverse variance weighted,9,0.96 [0.78-1.17],0.661848504409476
Chapter XI Diseases of the digestive system,Acute pancreatitis,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,Inverse variance weighted,5,0.87 [0.64-1.18],0.369010177502912
Chapter XI Diseases of the digestive system,Acute pancreatitis,CKAP4,Cytoskeleton-associated protein 4,Inverse variance weighted,15,1.08 [0.96-1.23],0.200477079509232
