Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,ACAN,Aggrecan core protein,Inverse variance weighted,33,1.04 [0.94-1.16],0.443685925150488
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYBPC1,"Myosin-binding protein C, slow-type",Inverse variance weighted,13,1.07 [0.90-1.26],0.443785183362686
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYOM2,Myomesin-2,Inverse variance weighted,3,0.95 [0.76-1.19],0.643653553775568
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,DCN,Decorin,Inverse variance weighted,3,1.03 [0.75-1.41],0.85221306164217
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MB,Myoglobin,Inverse variance weighted,10,0.95 [0.83-1.09],0.500955939429722
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,14,1.04 [0.90-1.20],0.575083859230331
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYOM3,Myomesin-3,Inverse variance weighted,25,1.04 [0.94-1.15],0.443171132108448
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,MYL3,Myosin light chain 3,Inverse variance weighted,13,1.07 [0.93-1.23],0.36024014413833
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,HSPB6,Heat shock protein beta-6,Inverse variance weighted,5,0.90 [0.74-1.09],0.285454747133256
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,CCN3,CCN family member 3,Inverse variance weighted,20,1.04 [0.96-1.12],0.314827334703636
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.69 [0.44-1.08],0.106326029167996
