Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",IGFBP4,Insulin-like growth factor-binding protein 4,Inverse variance weighted,3,0.83 [0.68-1.03],0.0854625251537651
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,5,0.91 [0.77-1.06],0.232623434405679
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",TFF3,Trefoil factor 3,Inverse variance weighted,10,1.00 [0.91-1.10],0.972287539020726
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,1.02 [0.97-1.07],0.498113083805555
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ADM,Pro-adrenomedullin,Inverse variance weighted,4,0.99 [0.92-1.07],0.867129559664375
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",AMBP,Protein AMBP,Inverse variance weighted,5,1.05 [0.93-1.19],0.417503700518839
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,10,1.08 [0.99-1.17],0.0935278459204967
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.91 [0.82-1.02],0.118771754135216
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",GAST,Gastrin,Inverse variance weighted,9,0.98 [0.90-1.07],0.717498260085
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",WFDC2,WAP four-disulfide core domain protein 2,Inverse variance weighted,4,1.03 [0.88-1.20],0.732896001674334
Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",GDF15,Growth/differentiation factor 15,Inverse variance weighted,14,0.97 [0.89-1.06],0.520067360841875
