Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Menorrhagia,CGA,Glycoprotein hormones alpha chain,Inverse variance weighted,3,1.46 [0.97-2.21],0.070570381016044
Chapter XIV Diseases of the genitourinary system,Menorrhagia,PAEP,Glycodelin,Inverse variance weighted,29,1.03 [0.99-1.08],0.156333965930694
