Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,HPGDS,Hematopoietic prostaglandin D synthase,Inverse variance weighted,27,0.99 [0.95-1.02],0.521020425698684
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CHAD,Chondroadherin,Inverse variance weighted,15,1.01 [0.95-1.08],0.66849672523421
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,PEPD,Xaa-Pro dipeptidase,Inverse variance weighted,26,1.01 [0.96-1.07],0.666563908483703
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,MXRA8,Matrix remodeling-associated protein 8,Inverse variance weighted,11,1.05 [0.88-1.26],0.60188300851511
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,OMG,Oligodendrocyte-myelin glycoprotein,Inverse variance weighted,15,0.95 [0.82-1.09],0.453627905674088
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA6,Carbonic anhydrase 6,Inverse variance weighted,51,0.98 [0.93-1.04],0.449026873337443
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,Inverse variance weighted,55,0.99 [0.96-1.02],0.498889505363578
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CRTAC1,Cartilage acidic protein 1,Inverse variance weighted,61,1.03 [1.00-1.07],0.0692449636807256
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,COMP,Cartilage oligomeric matrix protein,Inverse variance weighted,14,1.02 [0.92-1.12],0.748895880999757
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,GFAP,Glial fibrillary acidic protein,Inverse variance weighted,14,1.12 [0.93-1.34],0.231724800142376
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CST5,Cystatin-D,Inverse variance weighted,67,1.02 [0.98-1.05],0.317175987392319
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.91 [0.60-1.37],0.656772907018544
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IL15,Interleukin-15,Inverse variance weighted,35,0.99 [0.90-1.07],0.741996425852952
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IL1RN,Interleukin-1 receptor antagonist protein,Inverse variance weighted,12,1.03 [0.90-1.18],0.652084203763672
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ITGA11,Integrin alpha-11,Inverse variance weighted,16,0.98 [0.88-1.10],0.746235907722354
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CLEC4A,C-type lectin domain family 4 member A,Inverse variance weighted,16,1.05 [0.85-1.29],0.680283646225438
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,LGALS9,Galectin-9,Inverse variance weighted,39,0.97 [0.92-1.03],0.305381262601958
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD302,CD302 antigen,Inverse variance weighted,17,0.99 [0.91-1.06],0.70206508533822
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,MERTK,Tyrosine-protein kinase Mer,Inverse variance weighted,31,0.98 [0.91-1.05],0.578783725075851
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,RAB6A,Ras-related protein Rab-6A,Inverse variance weighted,28,0.97 [0.88-1.07],0.534166888396647
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ITGB2,Integrin beta-2,Inverse variance weighted,20,1.01 [0.88-1.15],0.916941020550599
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,MYOC,Myocilin,Inverse variance weighted,32,1.01 [0.94-1.08],0.8543310845707
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ITGAM,Integrin alpha-M,Inverse variance weighted,15,1.01 [0.87-1.17],0.927569988676551
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA14,Carbonic anhydrase 14,Inverse variance weighted,21,0.99 [0.86-1.13],0.839349759869774
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BCAN,Brevican core protein,Inverse variance weighted,15,1.01 [0.92-1.11],0.833697816468769
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,FAP,Prolyl endopeptidase FAP,Inverse variance weighted,13,0.99 [0.92-1.07],0.810045655223875
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ITGAV,Integrin alpha-V,Inverse variance weighted,14,1.12 [0.99-1.28],0.0807091284022988
