Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,A1BG,Alpha-1B-glycoprotein,16782,137,0.72 [0.28-1.89],0.507364872215765
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,AAMDC,Mth938 domain-containing protein,16306,129,1.19 [0.86-1.64],0.2887216190761829
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,AARSD1,Alanyl-tRNA editing protein Aarsd1,19201,160,0.98 [0.76-1.26],0.8696874521195116
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ABCA2,ATP-binding cassette sub-family A member 2,16201,132,1.44 [0.94-2.22],0.0941769313649953
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ABHD14B,Protein ABHD14B,19076,159,1.02 [0.79-1.31],0.8899920579108902
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ABL1,Tyrosine-protein kinase ABL1,19201,160,1.23 [1.01-1.51],0.0402313997927915
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ABO,Histo-blood group ABO system transferase,16787,138,1.02 [0.91-1.14],0.7343720822847192
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ABRAXAS2,BRISC complex subunit Abraxas 2,16201,132,1.12 [0.87-1.44],0.3960707290129622
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",18839,161,0.98 [0.83-1.17],0.8470768411424843
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",16476,136,1.24 [1.02-1.50],0.028617513820994
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",16768,136,0.94 [0.78-1.13],0.5145751462466008
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACAN,Aggrecan core protein,19123,157,0.65 [0.39-1.08],0.0983561547815693
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACE,Angiotensin-converting enzyme,16787,138,0.80 [0.44-1.45],0.4676695752679027
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACE2,Angiotensin-converting enzyme 2,18945,158,1.12 [0.88-1.43],0.3439546050176374
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACHE,Acetylcholinesterase,16403,132,0.92 [0.57-1.49],0.736676071017228
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACOT13,Acyl-coenzyme A thioesterase 13,16725,136,1.03 [0.90-1.19],0.6521164438620615
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,19318,160,1.16 [0.89-1.52],0.275541504342647
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACP1,Low molecular weight phosphotyrosine protein phosphatase,16274,132,0.72 [0.48-1.07],0.1068676900904549
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACP5,Tartrate-resistant acid phosphatase type 5,19391,159,0.95 [0.62-1.44],0.8051385061429629
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACP6,Lysophosphatidic acid phosphatase type 6,19438,162,1.14 [0.92-1.42],0.2295170614963065
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACRBP,Acrosin-binding protein,16719,138,1.01 [0.67-1.53],0.9668524154956586
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACRV1,Acrosomal protein SP-10,16274,132,1.08 [0.93-1.26],0.3015477191368613
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACSL1,Long-chain-fatty-acid--CoA ligase 1,16201,132,0.80 [0.47-1.36],0.4013527283302733
Chapter XIV Diseases of the genitourinary system,Other disorders of penis,ACTA2,"Actin, aortic smooth muscle",18945,158,1.00 [0.72-1.39],0.9877692645246856
