Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,A1BG,Alpha-1B-glycoprotein,24008,158,1.19 [0.51-2.75],0.6919673426636936
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,AAMDC,Mth938 domain-containing protein,23348,154,1.04 [0.78-1.39],0.7975044817329352
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,AARSD1,Alanyl-tRNA editing protein Aarsd1,27350,192,1.09 [0.87-1.36],0.4643226175732381
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ABCA2,ATP-binding cassette sub-family A member 2,23202,156,1.03 [0.68-1.56],0.8815317503891629
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ABHD14B,Protein ABHD14B,27191,189,1.02 [0.82-1.27],0.8452762851595188
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ABL1,Tyrosine-protein kinase ABL1,27350,192,0.98 [0.82-1.19],0.8703629318391628
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ABO,Histo-blood group ABO system transferase,23970,159,0.96 [0.87-1.07],0.506720628793558
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ABRAXAS2,BRISC complex subunit Abraxas 2,23202,156,1.07 [0.85-1.35],0.5634163668286616
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",26834,189,0.97 [0.82-1.14],0.685634318299568
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",23514,155,0.90 [0.71-1.15],0.4073445207203567
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",23961,159,1.05 [0.88-1.26],0.5538261388891259
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACAN,Aggrecan core protein,27231,189,0.68 [0.43-1.09],0.1063768971826215
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACE,Angiotensin-converting enzyme,23970,159,0.88 [0.48-1.61],0.67054656442825
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACE2,Angiotensin-converting enzyme 2,26965,184,0.96 [0.70-1.31],0.8045380980902406
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACHE,Acetylcholinesterase,23452,148,1.01 [0.61-1.67],0.967164776068342
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACOT13,Acyl-coenzyme A thioesterase 13,23836,160,0.97 [0.85-1.11],0.6479731251658447
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,27473,190,1.00 [0.76-1.31],0.9988355068484732
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACP1,Low molecular weight phosphotyrosine protein phosphatase,23285,154,1.12 [0.80-1.57],0.4975508969773417
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACP5,Tartrate-resistant acid phosphatase type 5,27596,188,0.65 [0.44-0.96],0.0323051172872618
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACP6,Lysophosphatidic acid phosphatase type 6,27653,192,1.00 [0.83-1.22],0.9669834960862184
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACRBP,Acrosin-binding protein,23823,160,0.90 [0.59-1.37],0.6178487520373783
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACRV1,Acrosomal protein SP-10,23285,154,0.81 [0.51-1.28],0.3626760835159793
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACSL1,Long-chain-fatty-acid--CoA ligase 1,23202,156,1.24 [0.86-1.79],0.2409355188234746
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACTA2,"Actin, aortic smooth muscle",26965,184,0.93 [0.68-1.28],0.6555112868526168
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACTN2,Alpha-actinin-2,23202,156,1.13 [0.89-1.45],0.3154278350544984
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACTN4,Alpha-actinin-4,26922,189,1.09 [0.72-1.65],0.6913299421107533
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACVRL1,Serine/threonine-protein kinase receptor R3,27240,190,0.71 [0.40-1.27],0.2469435602649539
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACY1,Aminoacylase-1,27473,190,1.01 [0.81-1.25],0.9631406928517328
"Chapter XV Pregnancy, childbirth and the puerperium",Spontaneous abortion,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase,23202,156,1.18 [0.91-1.53],0.2134266143680958
