"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","5/14","125/10891",3.3873657323283e-07,1.11783069166834e-05,5.34847220893943e-06,"CKAP4/CST3/IGFBP2/IGFBP4/SHISA5",5
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","4/14","108/10891",8.48057324054257e-06,0.000139929458468952,6.69518940042834e-05,"CKAP4/CST3/IGFBP4/SHISA5",4
"R-HSA-9696264","R-HSA-9696264","RND3 GTPase cycle","2/14","42/10891",0.00128297220563591,0.0116123848301227,0.00555616499048933,"CKAP4/CKB",2
"R-HSA-8948216","R-HSA-8948216","Collagen chain trimerization","2/14","44/10891",0.00140756179759063,0.0116123848301227,0.00555616499048933,"COL18A1/COL6A3",2
"R-HSA-2022090","R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","2/14","61/10891",0.00268910474887129,0.0152492675370574,0.00729630025696527,"COL18A1/COL6A3",2
"R-HSA-1442490","R-HSA-1442490","Collagen degradation","2/14","64/10891",0.00295590843858639,0.0152492675370574,0.00729630025696527,"COL18A1/COL6A3",2
"R-HSA-1650814","R-HSA-1650814","Collagen biosynthesis and modifying enzymes","2/14","67/10891",0.00323469311392127,0.0152492675370574,0.00729630025696527,"COL18A1/COL6A3",2
"R-HSA-216083","R-HSA-216083","Integrin cell surface interactions","2/14","85/10891",0.00515439196753532,0.0211183315780704,0.0101044648698901,"COL18A1/COL6A3",2
"R-HSA-1474290","R-HSA-1474290","Collagen formation","2/14","90/10891",0.00576128195473303,0.0211183315780704,0.0101044648698901,"COL18A1/COL6A3",2
"R-HSA-6803157","R-HSA-6803157","Antimicrobial peptides","2/14","95/10891",0.00639949441759709,0.0211183315780704,0.0101044648698901,"CHGA/RNASE6",2
"R-HSA-1474228","R-HSA-1474228","Degradation of the extracellular matrix","2/14","140/10891",0.013493199611829,0.0386539860816696,0.018494730182617,"COL18A1/COL6A3",2
"R-HSA-71288","R-HSA-71288","Creatine metabolism","1/14","11/10891",0.014055994938789,0.0386539860816696,0.018494730182617,"CKB",1
