"Unnamed: 0","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-3928665","R-HSA-3928665","EPH-ephrin mediated repulsion of cells","4/32","51/10891",1.39230627187528e-05,0.00165684446353158,0.00128971528342131,"EFNA1/EFNA4/EPHA2/EPHB4",4
"R-HSA-5669034","R-HSA-5669034","TNFs bind their physiological receptors","3/32","29/10891",7.99385192213528e-05,0.00351618940220383,0.0027370603042365,"TNFRSF14/TNFRSF1A/TNFRSF1B",3
"R-HSA-3928663","R-HSA-3928663","EPHA-mediated growth cone collapse","3/32","30/10891",8.86434303076595e-05,0.00351618940220383,0.0027370603042365,"EFNA1/EFNA4/EPHA2",3
"R-HSA-2682334","R-HSA-2682334","EPH-Ephrin signaling","4/32","92/10891",0.000143078205085252,0.00425657660128625,0.00331339001250057,"EFNA1/EFNA4/EPHA2/EPHB4",4
"R-HSA-5668541","R-HSA-5668541","TNFR2 non-canonical NF-kB pathway","4/32","102/10891",0.000213173774420061,0.00507353583119744,0.00394932466294007,"LTBR/TNFRSF14/TNFRSF1A/TNFRSF1B",4
"R-HSA-8957275","R-HSA-8957275","Post-translational protein phosphorylation","4/32","108/10891",0.000265533648574714,0.00526641736339849,0.00409946685518856,"CKAP4/CSF1/IGFBP4/SHISA5",4
"R-HSA-6783783","R-HSA-6783783","Interleukin-10 signaling","3/32","47/10891",0.000342220684013461,0.00581775162822884,0.00452863461551648,"CSF1/TNFRSF1A/TNFRSF1B",3
"R-HSA-381426","R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","4/32","125/10891",0.00046369153294924,0.00689741155261994,0.00536905985520172,"CKAP4/CSF1/IGFBP4/SHISA5",4
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","6/32","473/10891",0.0022480432879382,0.029416833485633,0.022898552381563,"CSF1/HAVCR2/LCN2/LGALS9/TNFRSF1A/TNFRSF1B",6
"R-HSA-6798695","R-HSA-6798695","Neutrophil degranulation","6/32","482/10891",0.00247200281391874,0.029416833485633,0.022898552381563,"B4GALT1/CD59/CKAP4/LCN2/PLAUR/TNFRSF1B",6
"R-HSA-5694530","R-HSA-5694530","Cargo concentration in the ER","2/32","33/10891",0.00417214809521404,0.0451350566664064,0.0351338786965393,"CD59/FOLR1",2
