Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,CLEC5A,C-type lectin domain family 5 member A,Inverse variance weighted,18,1.10 [1.04-1.16],0.0007004472526007
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,AMBP,Protein AMBP,Inverse variance weighted,5,1.23 [1.07-1.41],0.0031208011932606
