Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
PRND,Prion-like protein doppel,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,24,0.99 [0.93-1.06],0.850982704495239
PRND,Prion-like protein doppel,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",Inverse variance weighted,24,1.00 [0.94-1.06],0.920960818984278
PRND,Prion-like protein doppel,Chapter II Neoplasms,Leiomyoma of uterus,Inverse variance weighted,24,1.02 [0.97-1.08],0.396131869697235
PRND,Prion-like protein doppel,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,Inverse variance weighted,24,1.28 [0.98-1.68],0.068522494860653
PRND,Prion-like protein doppel,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,24,1.03 [0.97-1.10],0.367774751641628
PRND,Prion-like protein doppel,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,Inverse variance weighted,24,1.15 [1.01-1.30],0.0355871988639827
PRND,Prion-like protein doppel,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",Inverse variance weighted,24,1.03 [0.86-1.23],0.730571260835157
PRND,Prion-like protein doppel,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,24,0.99 [0.90-1.09],0.848829842421417
PRND,Prion-like protein doppel,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,Inverse variance weighted,24,0.98 [0.95-1.01],0.232368888821898
PRND,Prion-like protein doppel,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,Inverse variance weighted,24,1.03 [0.95-1.12],0.468824601748142
PRND,Prion-like protein doppel,Chapter VI Diseases of the nervous system,Migraine,Inverse variance weighted,24,1.00 [0.95-1.06],0.90068350351901
PRND,Prion-like protein doppel,Chapter IX Diseases of the circulatory system,Hypotension,Inverse variance weighted,24,1.02 [0.93-1.13],0.664742527596969
PRND,Prion-like protein doppel,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,24,0.81 [0.66-1.00],0.0483060940797076
PRND,Prion-like protein doppel,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,Inverse variance weighted,24,0.93 [0.80-1.08],0.333487196448679
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,24,1.04 [0.96-1.13],0.33948052243086
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,24,1.16 [0.96-1.41],0.124141930910358
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,24,0.99 [0.93-1.06],0.84177855034337
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,24,1.10 [0.89-1.37],0.37905399940539
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,Inverse variance weighted,24,1.11 [0.98-1.26],0.0972238527678127
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,24,1.02 [0.98-1.06],0.434782031136565
PRND,Prion-like protein doppel,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,Inverse variance weighted,24,1.03 [0.90-1.17],0.692754027328568
PRND,Prion-like protein doppel,Chapter V Mental and behavioural disorders,Smoking dependency,Inverse variance weighted,24,1.03 [0.90-1.18],0.655428460118532
