Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
DBI,Acyl-CoA-binding protein,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,10,0.99 [0.94-1.05],0.773019482407647
DBI,Acyl-CoA-binding protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,Inverse variance weighted,10,0.95 [0.87-1.04],0.285287936306044
DBI,Acyl-CoA-binding protein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,Inverse variance weighted,10,1.03 [0.95-1.12],0.473138781667704
DBI,Acyl-CoA-binding protein,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,10,1.00 [0.91-1.10],0.945130115001061
DBI,Acyl-CoA-binding protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,Inverse variance weighted,10,0.98 [0.93-1.03],0.487290384952765
DBI,Acyl-CoA-binding protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,10,0.97 [0.93-1.02],0.200123469779741
DBI,Acyl-CoA-binding protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,Inverse variance weighted,10,0.83 [0.67-1.03],0.0969682859986255
DBI,Acyl-CoA-binding protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,10,0.95 [0.84-1.08],0.428206267976408
DBI,Acyl-CoA-binding protein,Chapter IX Diseases of the circulatory system,"Heart failure, strict",Inverse variance weighted,10,0.97 [0.90-1.04],0.414419250804775
DBI,Acyl-CoA-binding protein,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,10,0.95 [0.90-1.00],0.0590779602289502
DBI,Acyl-CoA-binding protein,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,10,0.96 [0.91-1.01],0.107368498923746
DBI,Acyl-CoA-binding protein,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,10,0.91 [0.67-1.24],0.568253382622022
DBI,Acyl-CoA-binding protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,10,1.03 [0.96-1.11],0.412326142892295
DBI,Acyl-CoA-binding protein,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,10,1.01 [0.97-1.06],0.506624422140785
DBI,Acyl-CoA-binding protein,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,10,1.01 [0.97-1.05],0.803170001546408
DBI,Acyl-CoA-binding protein,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,10,1.00 [0.92-1.07],0.922407043960016
DBI,Acyl-CoA-binding protein,Chapter X Diseases of the respiratory system,Pleural effusion,Inverse variance weighted,10,1.00 [0.87-1.14],0.976256910051073
DBI,Acyl-CoA-binding protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,Inverse variance weighted,10,0.98 [0.88-1.08],0.65644171387688
DBI,Acyl-CoA-binding protein,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,10,1.00 [0.89-1.13],0.957472217701132
DBI,Acyl-CoA-binding protein,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,10,1.18 [0.90-1.55],0.240958622884732
DBI,Acyl-CoA-binding protein,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,10,1.00 [0.90-1.11],0.99869440990183
DBI,Acyl-CoA-binding protein,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,10,1.09 [0.82-1.45],0.564766554791998
DBI,Acyl-CoA-binding protein,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,10,0.97 [0.93-1.02],0.303828001967381
