Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
APLP1,Amyloid-like protein 1,Chapter X Diseases of the respiratory system,Early onset COPD,Inverse variance weighted,9,1.07 [0.89-1.30],0.467942177084459
APLP1,Amyloid-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,Inverse variance weighted,9,1.03 [0.86-1.24],0.756043991336298
APLP1,Amyloid-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,9,1.05 [0.98-1.11],0.156450228910022
APLP1,Amyloid-like protein 1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",Inverse variance weighted,9,0.99 [0.93-1.06],0.789541254114498
APLP1,Amyloid-like protein 1,Chapter IX Diseases of the circulatory system,Hypertension,Inverse variance weighted,9,0.99 [0.93-1.05],0.744767426073163
APLP1,Amyloid-like protein 1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,Inverse variance weighted,9,1.03 [0.89-1.19],0.715080253680227
APLP1,Amyloid-like protein 1,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,9,0.97 [0.84-1.13],0.724325102317821
APLP1,Amyloid-like protein 1,Chapter V Mental and behavioural disorders,Any mental disorder,Inverse variance weighted,9,0.98 [0.93-1.04],0.5009464691503
APLP1,Amyloid-like protein 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",Inverse variance weighted,9,0.98 [0.89-1.08],0.673445738486905
APLP1,Amyloid-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,Inverse variance weighted,9,0.95 [0.90-1.00],0.0566511667021704
APLP1,Amyloid-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,Inverse variance weighted,9,0.95 [0.89-1.01],0.103619378038764
APLP1,Amyloid-like protein 1,Chapter V Mental and behavioural disorders,Smoking dependency,Inverse variance weighted,9,1.31 [0.99-1.72],0.0559459837116755
