Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
SEMA6C,Semaphorin-6C,Chapter XI Diseases of the digestive system,Coeliac disease,Wald ratio,1,0.76 [0.47-1.23],0.268394822370368
SEMA6C,Semaphorin-6C,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Wald ratio,1,0.83 [0.61-1.14],0.248591178769288
SEMA6C,Semaphorin-6C,Chapter XIV Diseases of the genitourinary system,Dialysis,Wald ratio,1,0.94 [0.38-2.33],0.890261713490777
