Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
TLR1,Toll-like receptor 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,Inverse variance weighted,17,0.96 [0.91-1.01],0.113866235118892
TLR1,Toll-like receptor 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,Inverse variance weighted,17,0.94 [0.87-1.02],0.143409584183785
TLR1,Toll-like receptor 1,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",Inverse variance weighted,17,1.05 [0.83-1.33],0.690708413752881
TLR1,Toll-like receptor 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,Inverse variance weighted,17,0.96 [0.80-1.14],0.611923611764549
TLR1,Toll-like receptor 1,Chapter IX Diseases of the circulatory system,Oesophageal varices,Inverse variance weighted,17,0.80 [0.62-1.03],0.0848557046763803
TLR1,Toll-like receptor 1,Chapter XI Diseases of the digestive system,Alcoholic liver disease,Inverse variance weighted,17,1.06 [0.90-1.25],0.468782621589996
TLR1,Toll-like receptor 1,Chapter XI Diseases of the digestive system,Other diseases of liver,Inverse variance weighted,17,1.16 [1.04-1.30],0.0076211380837982
TLR1,Toll-like receptor 1,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,Inverse variance weighted,17,1.17 [0.94-1.45],0.165303259321928
TLR1,Toll-like receptor 1,Chapter XI Diseases of the digestive system,"Hepatic failure, not elsewhere classified",Inverse variance weighted,17,1.05 [0.82-1.36],0.692004454098724
TLR1,Toll-like receptor 1,Chapter XI Diseases of the digestive system,Diseases of liver,Inverse variance weighted,17,1.10 [1.02-1.19],0.0190819214158069
TLR1,Toll-like receptor 1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,17,1.04 [0.94-1.16],0.446286153685866
TLR1,Toll-like receptor 1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,17,0.98 [0.93-1.03],0.377563082167566
