Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",Inverse variance weighted,35,1.03 [0.98-1.07],0.229789305621388
TNR,Tenascin-R,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",Inverse variance weighted,35,1.03 [0.98-1.08],0.264116775170968
TNR,Tenascin-R,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",Inverse variance weighted,35,0.99 [0.90-1.09],0.853842238716668
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Early onset COPD,Inverse variance weighted,35,0.98 [0.91-1.06],0.68129066429466
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Later onset COPD,Inverse variance weighted,35,0.97 [0.91-1.02],0.252934963515368
TNR,Tenascin-R,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",Inverse variance weighted,35,1.01 [0.96-1.07],0.655528284327242
TNR,Tenascin-R,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,Inverse variance weighted,35,1.04 [0.96-1.12],0.388048316992303
TNR,Tenascin-R,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,Inverse variance weighted,35,1.00 [0.97-1.03],0.889700627791571
TNR,Tenascin-R,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,Inverse variance weighted,35,0.99 [0.95-1.02],0.447099450101568
TNR,Tenascin-R,Chapter VI Diseases of the nervous system,Falls/tendency to fall,Inverse variance weighted,35,0.98 [0.96-1.00],0.0283930474333636
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Interstitial lung disease,Inverse variance weighted,35,1.00 [0.92-1.09],0.946576160650198
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,Inverse variance weighted,35,0.99 [0.86-1.13],0.886828975999134
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",Inverse variance weighted,35,1.01 [0.98-1.04],0.654665649036987
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Bronchiectasis,Inverse variance weighted,35,0.96 [0.86-1.09],0.547619339962065
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Emphysema,Inverse variance weighted,35,0.98 [0.85-1.12],0.771720473554096
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Influenza and pneumonia,Inverse variance weighted,35,0.99 [0.96-1.03],0.710202870654453
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,Inverse variance weighted,35,1.00 [0.97-1.03],0.78568133591446
TNR,Tenascin-R,Chapter X Diseases of the respiratory system,Other diseases of pleura,Inverse variance weighted,35,0.98 [0.94-1.03],0.41050262163779
TNR,Tenascin-R,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,Inverse variance weighted,35,0.98 [0.92-1.03],0.408998821821815
TNR,Tenascin-R,Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,Inverse variance weighted,35,1.01 [0.97-1.05],0.717259186181989
TNR,Tenascin-R,Chapter V Mental and behavioural disorders,Any mental disorder,Inverse variance weighted,35,1.00 [0.98-1.03],0.748790563645596
TNR,Tenascin-R,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",Inverse variance weighted,35,1.02 [0.98-1.07],0.355989802497861
TNR,Tenascin-R,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,Inverse variance weighted,35,1.02 [0.99-1.06],0.192303570153342
TNR,Tenascin-R,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,Inverse variance weighted,35,0.96 [0.92-1.01],0.0861305638260663
TNR,Tenascin-R,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,35,1.10 [0.92-1.31],0.300144058229855
TNR,Tenascin-R,Chapter V Mental and behavioural disorders,Smoking dependency,Inverse variance weighted,35,1.02 [0.91-1.15],0.690668174285557
