Protein,Protein_definition,Disease_category,Disease,Method,Nb_SNP,OR[95%CI],P_value
PYDC1,Pyrin domain-containing protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,Inverse variance weighted,72,0.90 [0.81-1.00],0.0454649273933073
PYDC1,Pyrin domain-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",Inverse variance weighted,72,1.01 [0.95-1.08],0.691344981616988
PYDC1,Pyrin domain-containing protein 1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,Inverse variance weighted,72,1.06 [0.94-1.20],0.329864561128728
PYDC1,Pyrin domain-containing protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,Inverse variance weighted,72,1.02 [0.97-1.07],0.370330862853625
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,Inverse variance weighted,72,0.97 [0.92-1.02],0.211655124675571
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,Inverse variance weighted,72,0.94 [0.83-1.06],0.286341461436246
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,Inverse variance weighted,72,1.01 [0.97-1.05],0.730593376935924
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Dialysis,Inverse variance weighted,72,0.97 [0.86-1.11],0.674034989565212
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,Inverse variance weighted,72,1.01 [0.94-1.08],0.830284608883695
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Other specified disorders of kidney and ureter,Inverse variance weighted,72,1.04 [0.91-1.19],0.538762969875015
PYDC1,Pyrin domain-containing protein 1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,Inverse variance weighted,72,0.98 [0.96-1.01],0.17643147042216
