Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter I Certain infectious and parasitic diseases,Other viral diseases,AGRN,Agrin,28290,95,2.57 [1.69-3.92],1.0830473657616824e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,BST2,Bone marrow stromal antigen 2,28437,99,1.67 [1.32-2.11],1.8317732933776453e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,CLEC4G,C-type lectin domain family 4 member G,28150,99,3.15 [1.95-5.07],2.515554468576138e-06
Chapter I Certain infectious and parasitic diseases,Other viral diseases,COL6A3,Collagen alpha-3(VI) chain,28515,101,2.65 [1.72-4.07],9.109173253508598e-06
Chapter I Certain infectious and parasitic diseases,Other viral diseases,CST3,Cystatin-C,28199,97,3.04 [1.78-5.16],4.1874871195610186e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,CXADR,Coxsackievirus and adenovirus receptor,28150,99,1.84 [1.38-2.45],3.4483782582351707e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,GFRA1,GDNF family receptor alpha-1,28387,101,3.22 [1.83-5.64],4.728740863401566e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,GZMA,Granzyme A,28505,101,2.51 [1.67-3.75],8.240766853630764e-06
Chapter I Certain infectious and parasitic diseases,Other viral diseases,IL4R,Interleukin-4 receptor subunit alpha,28150,99,2.32 [1.55-3.47],4.345083063447622e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,LGALS9,Galectin-9,28147,94,3.02 [1.87-4.88],6.430616809151601e-06
Chapter I Certain infectious and parasitic diseases,Other viral diseases,LTBR,Tumor necrosis factor receptor superfamily member 3,27990,94,3.45 [2.05-5.81],3.3643448070029724e-06
Chapter I Certain infectious and parasitic diseases,Other viral diseases,PSAP,Prosaposin,24242,90,2.52 [1.64-3.88],2.621749983071013e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,REN,Renin,28166,101,1.52 [1.24-1.86],5.5220512120840455e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,28158,97,1.74 [1.32-2.29],7.771269175220595e-05
Chapter I Certain infectious and parasitic diseases,Other viral diseases,TNFSF13B,Tumor necrosis factor ligand superfamily member 13B,28460,100,3.64 [2.39-5.54],1.7487404742905791e-09
