Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,Chapter XI Diseases of the digestive system,Diseases of liver,26932,122,0.74 [0.65-0.85],1.070407352358708e-05
PRTFDC1,Phosphoribosyltransferase domain-containing protein 1,Chapter XI Diseases of the digestive system,Other diseases of liver,26874,64,0.73 [0.61-0.87],0.0005782627699147
