Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL1RL2,Interleukin-1 receptor-like 2,25378,133,1.98 [1.32-2.96],0.0009045334868152
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL2RA,Interleukin-2 receptor subunit alpha,25690,128,1.95 [1.38-2.75],0.0001545247539981
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL2RG,Cytokine receptor common subunit gamma,22444,115,1.61 [1.27-2.05],9.1571491524008e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL4R,Interleukin-4 receptor subunit alpha,25844,135,1.98 [1.39-2.81],0.0001391347732025
Chapter XI Diseases of the digestive system,Ulcerative colitis,IL7,Interleukin-7,25844,135,1.55 [1.24-1.93],9.34406695270436e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,INSL5,Insulin-like peptide INSL5,22448,114,0.69 [0.55-0.86],0.0008028872793649
Chapter XI Diseases of the digestive system,Ulcerative colitis,ITGA5,Integrin alpha-5,25881,136,2.72 [1.53-4.83],0.0006615744873187
Chapter XI Diseases of the digestive system,Ulcerative colitis,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,25378,133,1.79 [1.29-2.50],0.0005738261646736
Chapter XI Diseases of the digestive system,Ulcerative colitis,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,26022,135,2.63 [1.73-4.01],6.5939474976723344e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,LTBR,Tumor necrosis factor receptor superfamily member 3,25754,133,2.82 [1.76-4.52],1.5577179193418957e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,MDK,Midkine,25904,135,1.53 [1.23-1.90],0.0001424716594564
Chapter XI Diseases of the digestive system,Ulcerative colitis,MMP10,Stromelysin-2,25842,133,1.72 [1.39-2.12],6.689430227927731e-07
Chapter XI Diseases of the digestive system,Ulcerative colitis,MMP12,Macrophage metalloelastase,25893,134,1.59 [1.21-2.08],0.0009828153808486
Chapter XI Diseases of the digestive system,Ulcerative colitis,MRC1,Macrophage mannose receptor 1,22578,116,2.94 [1.68-5.13],0.0001480604491618
Chapter XI Diseases of the digestive system,Ulcerative colitis,NOS2,"Nitric oxide synthase, inducible",21855,112,2.74 [2.14-3.52],2.405151150238633e-15
Chapter XI Diseases of the digestive system,Ulcerative colitis,NRP2,Neuropilin-2,25881,136,2.65 [1.75-4.01],3.937370101496695e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,PDCD1,Programmed cell death protein 1,26069,136,1.78 [1.34-2.36],5.777520299014876e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,PDIA2,Protein disulfide-isomerase A2,21744,108,1.76 [1.36-2.28],1.5233969483687011e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,PLAU,Urokinase-type plasminogen activator,25881,136,1.79 [1.34-2.41],0.0001017276901387
Chapter XI Diseases of the digestive system,Ulcerative colitis,PLAUR,Urokinase plasminogen activator surface receptor,25708,133,2.56 [1.51-4.34],0.0004574940180672
Chapter XI Diseases of the digestive system,Ulcerative colitis,PPY,Pancreatic prohormone,25882,134,0.73 [0.62-0.85],6.248882171658074e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,PRG2,Bone marrow proteoglycan,22562,115,1.94 [1.43-2.63],1.753401821302505e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,PRG3,Proteoglycan 3,22562,115,2.15 [1.54-3.00],7.115898092316349e-06
Chapter XI Diseases of the digestive system,Ulcerative colitis,PTGDS,Prostaglandin-H2 D-isomerase,25673,131,6.01 [4.55-7.95],1.888092595807993e-36
Chapter XI Diseases of the digestive system,Ulcerative colitis,REG1A,Lithostathine-1-alpha,25717,130,1.64 [1.27-2.10],0.0001167463753436
Chapter XI Diseases of the digestive system,Ulcerative colitis,REG1B,Lithostathine-1-beta,26207,133,1.46 [1.17-1.82],0.0008267121963261
Chapter XI Diseases of the digestive system,Ulcerative colitis,REG3A,Regenerating islet-derived protein 3-alpha,26207,133,1.77 [1.44-2.17],5.109817931191708e-08
Chapter XI Diseases of the digestive system,Ulcerative colitis,REG4,Regenerating islet-derived protein 4,25923,134,2.41 [1.84-3.16],1.5278383979609427e-10
Chapter XI Diseases of the digestive system,Ulcerative colitis,RELT,Tumor necrosis factor receptor superfamily member 19L,25881,136,2.48 [1.51-4.08],0.0003148390218523
Chapter XI Diseases of the digestive system,Ulcerative colitis,RNASE6,Ribonuclease K6,22406,116,1.97 [1.38-2.83],0.0002075213408477
Chapter XI Diseases of the digestive system,Ulcerative colitis,SIRPB1,Signal-regulatory protein beta-1,25838,133,1.81 [1.30-2.52],0.0003927854474103
Chapter XI Diseases of the digestive system,Ulcerative colitis,SLAMF8,SLAM family member 8,25274,134,1.68 [1.26-2.24],0.0004285416153603
Chapter XI Diseases of the digestive system,Ulcerative colitis,SLC34A3,Sodium-dependent phosphate transport protein 2C,21744,108,1.55 [1.25-1.91],5.788379999328992e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,SMAD3,Mothers against decapentaplegic homolog 3,22444,115,1.70 [1.24-2.33],0.0009039292907311
Chapter XI Diseases of the digestive system,Ulcerative colitis,SMPD1,Sphingomyelin phosphodiesterase,25984,136,1.77 [1.32-2.37],0.0001403577468211
Chapter XI Diseases of the digestive system,Ulcerative colitis,SPINK1,Serine protease inhibitor Kazal-type 1,25881,136,1.80 [1.36-2.37],3.3066402717414454e-05
Chapter XI Diseases of the digestive system,Ulcerative colitis,SPON1,Spondin-1,25923,134,2.53 [1.80-3.57],1.1597365739825425e-07
Chapter XI Diseases of the digestive system,Ulcerative colitis,SUSD2,Sushi domain-containing protein 2,25881,136,2.11 [1.42-3.14],0.0002161837633708
Chapter XI Diseases of the digestive system,Ulcerative colitis,TFF1,Trefoil factor 1,25751,135,1.37 [1.16-1.62],0.0002190384462839
Chapter XI Diseases of the digestive system,Ulcerative colitis,TFF2,Trefoil factor 2,25959,134,1.49 [1.17-1.88],0.0009953966199689
Chapter XI Diseases of the digestive system,Ulcerative colitis,TGFB1,Transforming growth factor beta-1 proprotein,26120,134,1.85 [1.28-2.66],0.0009352425563926
Chapter XI Diseases of the digestive system,Ulcerative colitis,THBS2,Thrombospondin-2,25881,136,2.08 [1.49-2.89],1.3863196164862206e-05
