Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Urolithiasis,RNF149,E3 ubiquitin-protein ligase RNF149,23373,108,2.46 [1.58-3.83],6.570817756707807e-05
Chapter XIV Diseases of the genitourinary system,Urolithiasis,SCG3,Secretogranin-3,27568,131,2.32 [1.48-3.64],0.0002647629917492
Chapter XIV Diseases of the genitourinary system,Urolithiasis,SDC1,Syndecan-1,27522,134,1.65 [1.22-2.21],0.0009398728702717
Chapter XIV Diseases of the genitourinary system,Urolithiasis,SLITRK1,SLIT and NTRK-like protein 1,23315,104,2.88 [1.69-4.89],9.2020236150286e-05
Chapter XIV Diseases of the genitourinary system,Urolithiasis,SORCS2,VPS10 domain-containing receptor SorCS2,26873,130,2.07 [1.40-3.05],0.0002577915880934
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TAFA5,Chemokine-like protein TAFA-5,27400,131,1.95 [1.33-2.86],0.0006551176540948
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TGFBR2,TGF-beta receptor type-2,27617,133,2.62 [1.85-3.72],6.987136439497714e-08
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TGOLN2,Trans-Golgi network integral membrane protein 2,24006,113,2.99 [1.59-5.63],0.0007036589218041
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TIGIT,T-cell immunoreceptor with Ig and ITIM domains,23544,110,1.68 [1.24-2.29],0.0008507744791904
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TNFAIP8,Tumor necrosis factor alpha-induced protein 8,26971,128,0.46 [0.29-0.73],0.0008631635942036
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,27804,134,1.83 [1.29-2.60],0.0007551091606649
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TNFRSF13B,Tumor necrosis factor receptor superfamily member 13B,27568,131,1.81 [1.30-2.52],0.0003946573130734
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TNFRSF1A,Tumor necrosis factor receptor superfamily member 1A,27521,134,2.29 [1.46-3.59],0.0003109048113863
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,27758,133,1.82 [1.29-2.57],0.0006078736663819
Chapter XIV Diseases of the genitourinary system,Urolithiasis,TSHB,Thyrotropin subunit beta,27522,134,0.73 [0.62-0.87],0.0003386064995405
Chapter XIV Diseases of the genitourinary system,Urolithiasis,WFDC2,WAP four-disulfide core domain protein 2,26111,122,1.89 [1.36-2.62],0.0001466850817115
