Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Sleep apnoea,ACE2,Angiotensin-converting enzyme 2,22196,116,1.47 [1.17-1.86],0.0009512740862856
Chapter VI Diseases of the nervous system,Sleep apnoea,ACRV1,Acrosomal protein SP-10,19123,97,1.35 [1.18-1.54],7.81096767256292e-06
Chapter VI Diseases of the nervous system,Sleep apnoea,APOM,Apolipoprotein M,22706,120,0.37 [0.22-0.61],9.592362922276497e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,ARHGEF5,Rho guanine nucleotide exchange factor 5,19064,99,1.44 [1.17-1.78],0.0006412804784682
Chapter VI Diseases of the nervous system,Sleep apnoea,ASGR1,Asialoglycoprotein receptor 1,22425,117,2.31 [1.45-3.67],0.0004051116646851
Chapter VI Diseases of the nervous system,Sleep apnoea,CALCA,Calcitonin,22391,117,1.49 [1.25-1.78],1.03985408632037e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,CCN3,CCN family member 3,22866,121,1.95 [1.34-2.82],0.0004465559138106
Chapter VI Diseases of the nervous system,Sleep apnoea,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,22516,118,1.96 [1.32-2.92],0.0008063349203822
Chapter VI Diseases of the nervous system,Sleep apnoea,CD59,CD59 glycoprotein,21843,118,2.48 [1.52-4.05],0.0002717850106614
Chapter VI Diseases of the nervous system,Sleep apnoea,CD86,T-lymphocyte activation antigen CD86,19611,100,0.37 [0.23-0.62],0.0001165597835744
Chapter VI Diseases of the nervous system,Sleep apnoea,CDH15,Cadherin-15,22770,119,1.38 [1.16-1.65],0.000361183131709
Chapter VI Diseases of the nervous system,Sleep apnoea,CEBPA,CCAAT/enhancer-binding protein alpha,19123,97,1.87 [1.40-2.51],2.331029247103349e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,CFC1,Cryptic protein,22114,118,1.70 [1.33-2.19],2.537523398601344e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,CGA,Glycoprotein hormones alpha chain,22647,120,0.69 [0.58-0.81],5.920615891687634e-06
Chapter VI Diseases of the nervous system,Sleep apnoea,CHCHD10,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial",19670,98,1.86 [1.34-2.58],0.0001950583599757
Chapter VI Diseases of the nervous system,Sleep apnoea,CLEC3B,Tetranectin,19267,98,0.22 [0.09-0.51],0.0005016750970429
Chapter VI Diseases of the nervous system,Sleep apnoea,COL3A1,Collagen alpha-1(III) chain,19719,102,4.06 [2.06-8.02],5.4710607309078e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,COL4A1,Collagen alpha-1(IV) chain,22629,122,1.95 [1.39-2.73],0.0001069703135105
Chapter VI Diseases of the nervous system,Sleep apnoea,COL6A3,Collagen alpha-3(VI) chain,22905,121,2.07 [1.46-2.91],3.522204112952981e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,CRH,Corticoliberin,22077,118,0.69 [0.56-0.84],0.0002543571936182
Chapter VI Diseases of the nervous system,Sleep apnoea,CRISP2,Cysteine-rich secretory protein 2,22800,118,1.53 [1.19-1.96],0.0008858046472934
Chapter VI Diseases of the nervous system,Sleep apnoea,DPEP2,Dipeptidase 2,22516,118,0.41 [0.25-0.69],0.0006624721549857
Chapter VI Diseases of the nervous system,Sleep apnoea,DTNB,Dystrobrevin beta,19572,99,1.83 [1.29-2.60],0.0006633026022414
Chapter VI Diseases of the nervous system,Sleep apnoea,EDDM3B,Epididymal secretory protein E3-beta,19615,99,1.55 [1.26-1.92],3.584457089372739e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,22905,121,0.31 [0.19-0.51],4.763855592096921e-06
Chapter VI Diseases of the nervous system,Sleep apnoea,ERBB3,Receptor tyrosine-protein kinase erbB-3,22556,117,0.24 [0.11-0.53],0.0004127099752759
Chapter VI Diseases of the nervous system,Sleep apnoea,FABP3,"Fatty acid-binding protein, heart",19704,101,1.78 [1.37-2.32],2.017550054510077e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,FAM3C,Protein FAM3C,22587,122,2.63 [1.69-4.11],2.0333803574984504e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,FGFBP1,Fibroblast growth factor-binding protein 1,22713,117,0.42 [0.27-0.66],0.0001448596696036
Chapter VI Diseases of the nervous system,Sleep apnoea,FSHB,Follitropin subunit beta,19213,99,0.62 [0.50-0.77],1.6939768595812915e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,GAL,Galanin peptides,22721,117,1.61 [1.27-2.03],7.530634812361461e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,GDF15,Growth/differentiation factor 15,22905,121,1.75 [1.35-2.27],2.59130737250636e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,GGT1,Glutathione hydrolase 1 proenzyme,22613,119,1.58 [1.22-2.03],0.000437220362749
Chapter VI Diseases of the nervous system,Sleep apnoea,GUCA2A,Guanylin,22532,119,2.17 [1.47-3.19],9.206996182435908e-05
Chapter VI Diseases of the nervous system,Sleep apnoea,HAVCR1,Hepatitis A virus cellular receptor 1,22765,118,1.49 [1.22-1.82],0.0001235702767506
Chapter VI Diseases of the nervous system,Sleep apnoea,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,19123,97,2.19 [1.41-3.39],0.0004856983596628
