Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Trigger finger,19434,120,2.25 [1.27-3.98],0.0052339706244814
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,19483,169,0.44 [0.25-0.78],0.0049841271703206
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],19472,158,0.39 [0.22-0.71],0.0019440756743667
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,19492,300,0.31 [0.20-0.48],1.4628553748179888e-07
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,19276,84,0.27 [0.12-0.60],0.0013852993474502
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Acute renal failure,19538,65,0.28 [0.11-0.69],0.0061302377964447
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,19562,89,0.14 [0.06-0.30],4.715273163733208e-07
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,19555,82,0.21 [0.09-0.48],0.0001720118935768
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Other disorders of kidney and ureter,22639,94,0.38 [0.18-0.81],0.0118577217542913
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,20285,1208,0.68 [0.55-0.84],0.0004580902991697
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Cystitis,19190,113,0.42 [0.21-0.84],0.0135255609960139
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Neuromuscular dysfunction of bladder,19174,97,0.45 [0.21-0.95],0.0357389592146761
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Other disorders of  bladder,19444,367,0.59 [0.40-0.87],0.0074202162835844
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,19814,737,0.70 [0.54-0.93],0.012446073168748
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Adenomyosis (Endometriosis of uterus),9342,50,0.35 [0.13-1.00],0.0495316695519873
ERBB4,Receptor tyrosine-protein kinase erbB-4,Chapter XIV Diseases of the genitourinary system,Female genital prolapse,9778,486,0.71 [0.50-1.00],0.0470138979880131
