Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter X Diseases of the respiratory system,Influenza and pneumonia,SPON2,Spondin-2,Inverse variance weighted,8,1.05 [1.01-1.10],0.0281035667416115
Chapter X Diseases of the respiratory system,Influenza and pneumonia,MDK,Midkine,Inverse variance weighted,19,0.94 [0.88-1.00],0.0488630287161035
Chapter X Diseases of the respiratory system,Influenza and pneumonia,MANSC1,MANSC domain-containing protein 1,Inverse variance weighted,15,0.93 [0.88-0.98],0.0087572331199481
Chapter X Diseases of the respiratory system,Influenza and pneumonia,TGOLN2,Trans-Golgi network integral membrane protein 2,Inverse variance weighted,38,1.02 [1.00-1.05],0.0428145362549854
Chapter X Diseases of the respiratory system,Influenza and pneumonia,LRP11,Low-density lipoprotein receptor-related protein 11,Inverse variance weighted,42,0.97 [0.94-0.99],0.009909943827473
Chapter X Diseases of the respiratory system,Influenza and pneumonia,RSPO3,R-spondin-3,Inverse variance weighted,11,0.92 [0.87-0.97],0.0042286287222654
Chapter X Diseases of the respiratory system,Influenza and pneumonia,FAS,Tumor necrosis factor receptor superfamily member 6,Inverse variance weighted,12,0.96 [0.93-1.00],0.0421753532665708
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CD5,T-cell surface glycoprotein CD5,Inverse variance weighted,13,1.09 [1.03-1.17],0.0061638622956966
Chapter X Diseases of the respiratory system,Influenza and pneumonia,FOLR1,Folate receptor alpha,Inverse variance weighted,10,1.08 [1.00-1.15],0.0414236384646199
Chapter X Diseases of the respiratory system,Influenza and pneumonia,PDCD1LG2,Programmed cell death 1 ligand 2,Inverse variance weighted,75,0.98 [0.96-1.00],0.0226766536086246
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CLEC5A,C-type lectin domain family 5 member A,Inverse variance weighted,18,0.96 [0.93-1.00],0.0342187832755503
Chapter X Diseases of the respiratory system,Influenza and pneumonia,SERPINB8,Serpin B8,Inverse variance weighted,29,0.98 [0.96-0.99],0.0047436213495165
Chapter X Diseases of the respiratory system,Influenza and pneumonia,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,Inverse variance weighted,36,1.02 [1.00-1.04],0.0352398609250308
Chapter X Diseases of the respiratory system,Influenza and pneumonia,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.61 [0.49-0.76],1.24011382659326e-05
Chapter X Diseases of the respiratory system,Influenza and pneumonia,GGT5,Glutathione hydrolase 5 proenzyme,Inverse variance weighted,20,0.95 [0.92-0.99],0.0070001586063766
Chapter X Diseases of the respiratory system,Influenza and pneumonia,EDN1,Endothelin-1,Inverse variance weighted,3,0.93 [0.88-0.98],0.0109473676763123
Chapter X Diseases of the respiratory system,Influenza and pneumonia,PRELP,Prolargin,Inverse variance weighted,14,0.95 [0.92-0.98],0.0047372042634399
Chapter X Diseases of the respiratory system,Influenza and pneumonia,TMPRSS11D,Transmembrane protease serine 11D,Inverse variance weighted,4,0.87 [0.80-0.95],0.0020826897871617
Chapter X Diseases of the respiratory system,Influenza and pneumonia,IL4R,Interleukin-4 receptor subunit alpha,Inverse variance weighted,18,0.97 [0.94-1.00],0.0449557109985403
Chapter X Diseases of the respiratory system,Influenza and pneumonia,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,0.94 [0.90-0.99],0.0172000708200296
Chapter X Diseases of the respiratory system,Influenza and pneumonia,SEMA3G,Semaphorin-3G,Inverse variance weighted,66,1.03 [1.00-1.05],0.0221985107149789
Chapter X Diseases of the respiratory system,Influenza and pneumonia,DEFA1_DEFA1B,Neutrophil defensin 1,Inverse variance weighted,31,1.04 [1.00-1.08],0.039358631654475
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CD163,Scavenger receptor cysteine-rich type 1 protein M130,Inverse variance weighted,38,1.06 [1.01-1.12],0.0221287434809848
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CD300LG,CMRF35-like molecule 9,Inverse variance weighted,24,1.04 [1.00-1.08],0.0378639292957468
Chapter X Diseases of the respiratory system,Influenza and pneumonia,TIMP4,Metalloproteinase inhibitor 4,Inverse variance weighted,24,0.96 [0.93-0.99],0.0168093243031872
Chapter X Diseases of the respiratory system,Influenza and pneumonia,CFD,Complement factor D,Inverse variance weighted,12,1.04 [1.00-1.08],0.0485858026150775
