Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,KLK4,Kallikrein-4,Inverse variance weighted,20,1.04 [1.00-1.08],0.0475548328218607
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Internal derangement of knee,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,5,1.18 [1.01-1.37],0.0394879422419552
