Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,INSL5,Insulin-like peptide INSL5,Inverse variance weighted,11,0.83 [0.73-0.94],0.0048643335167674
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,LY6D,Lymphocyte antigen 6D,Inverse variance weighted,31,1.15 [1.06-1.26],0.0013078514969242
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,SLURP1,Secreted Ly-6/uPAR-related protein 1,Inverse variance weighted,24,1.10 [1.02-1.18],0.0117880908563119
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,SEMA3F,Semaphorin-3F,Inverse variance weighted,46,1.19 [1.08-1.31],0.0002842250897414
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,IGFBP7,Insulin-like growth factor-binding protein 7,Inverse variance weighted,23,0.88 [0.80-0.96],0.0042257430933682
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,CALCB,Calcitonin gene-related peptide 2,Inverse variance weighted,9,0.81 [0.67-0.98],0.0321917267468634
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,ANG,Angiogenin,Inverse variance weighted,25,1.11 [1.04-1.19],0.0035202419539706
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,EFNA1,Ephrin-A1,Inverse variance weighted,15,1.22 [1.11-1.32],9.17894516846772e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,CXCL13,C-X-C motif chemokine 13,Inverse variance weighted,2,1.72 [1.10-2.70],0.0177008079936367
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,CD74,HLA class II histocompatibility antigen gamma chain,Inverse variance weighted,8,1.21 [1.01-1.45],0.0356690138738114
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,PRSS2,Trypsin-2,Inverse variance weighted,22,0.87 [0.76-0.99],0.038694144042613
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,IGFBP6,Insulin-like growth factor-binding protein 6,Inverse variance weighted,6,1.42 [1.12-1.80],0.0037193804470958
