Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter VI Diseases of the nervous system,MIGRAINE_UNSPE,YAP1,Transcriptional coactivator YAP1,Wald ratio,1,6.46 [0.24-173.02],0.266184679722128,cis
Chapter VI Diseases of the nervous system,MIGRAINE_UNSPE,YAP1,Transcriptional coactivator YAP1,Inverse variance weighted,9,1.43 [0.5-4.05],0.50337237954881,trans
