Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_HAMMERTOE,CBLN4,Cerebellin-4,Inverse variance weighted,11,0.99 [0.87-1.12],0.819475427902586,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_HAMMERTOE,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.41 [0.21-0.8],0.00924450969392276,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_HAMMERTOE,CBLN4,Cerebellin-4,Inverse variance weighted,17,1.02 [0.91-1.15],0.720149921135422,trans
