Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter VI Diseases of the nervous system,G6_DISBROTHUNS,GDF15,Growth/differentiation factor 15,Inverse variance weighted,12,0.36 [0.13-0.97],0.0439123765218996,cis
Chapter VI Diseases of the nervous system,G6_DISBROTHUNS,GDF15,Growth/differentiation factor 15,Wald ratio,1,0.12 [0-18.5],0.406714724462585,trans
