Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,PRIM_KNEEARTHROSIS,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,8,0.93 [0.84-1.03],0.184246317408281,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,PRIM_KNEEARTHROSIS,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,7,1 [0.66-1.53],0.995781844678125,trans
