Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,8,0.92 [0.86-0.99],0.0323615755239473,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,CRTAC1,Cartilage acidic protein 1,Inverse variance weighted,43,0.97 [0.94-1],0.0548508306570353,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,3,1.17 [0.95-1.46],0.141920874714038,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,COMP,Cartilage oligomeric matrix protein,Inverse variance weighted,5,0.96 [0.86-1.06],0.395848009115851,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,SCRG1,Scrapie-responsive protein 1,Inverse variance weighted,2,1.57 [1.05-2.36],0.02778463724736,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,BRK1,Protein BRICK1,Inverse variance weighted,10,0.91 [0.82-1.02],0.114381495813496,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,CRTAC1,Cartilage acidic protein 1,Inverse variance weighted,59,0.98 [0.95-1.01],0.118569775340204,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,DCN,Decorin,Inverse variance weighted,2,0.94 [0.67-1.31],0.697231999583943,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,COMP,Cartilage oligomeric matrix protein,Inverse variance weighted,9,1.05 [0.82-1.34],0.709157222255399,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_MENISCUSDERANGEMENTS,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,7,1.05 [0.79-1.4],0.717662181851513,trans
