Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter VI Diseases of the nervous system,SFN,EPHB4,Ephrin type-B receptor 4,Wald ratio,1,1.79 [0.86-3.76],0.122191329815881,cis
Chapter VI Diseases of the nervous system,SFN,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,0.59 [0.27-1.25],0.167007445185216,cis
Chapter VI Diseases of the nervous system,SFN,CD300E,CMRF35-like molecule 2,Inverse variance weighted,21,0.86 [0.65-1.13],0.278161060897678,cis
Chapter VI Diseases of the nervous system,SFN,RNASET2,Ribonuclease T2,Inverse variance weighted,14,0.88 [0.68-1.13],0.299441671927598,cis
Chapter VI Diseases of the nervous system,SFN,PGF,Placenta growth factor,Inverse variance weighted,2,5.39 [0.13-223.25],0.3752662352409,cis
Chapter VI Diseases of the nervous system,SFN,EFNA4,Ephrin-A4,Inverse variance weighted,3,0.65 [0.22-1.99],0.455146364157212,cis
Chapter VI Diseases of the nervous system,SFN,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,2,1.29 [0.5-3.32],0.590979561054482,cis
Chapter VI Diseases of the nervous system,SFN,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,7,0.86 [0.48-1.53],0.599885251283505,cis
Chapter VI Diseases of the nervous system,SFN,HSPB6,Heat shock protein beta-6,Wald ratio,1,1.89 [0.11-33.83],0.666369474680477,cis
Chapter VI Diseases of the nervous system,SFN,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,2,1.45 [0.19-11.18],0.723024884854521,cis
Chapter VI Diseases of the nervous system,SFN,GDF15,Growth/differentiation factor 15,Inverse variance weighted,12,0.91 [0.47-1.77],0.789611232932216,cis
Chapter VI Diseases of the nervous system,SFN,DLL1,Delta-like protein 1,Inverse variance weighted,7,1.05 [0.61-1.82],0.861072484562588,cis
Chapter VI Diseases of the nervous system,SFN,FSTL1,Follistatin-related protein 1,Inverse variance weighted,3,0.91 [0.27-3.07],0.87675832423163,cis
Chapter VI Diseases of the nervous system,SFN,NOS1,"Nitric oxide synthase, brain",Inverse variance weighted,2,0.95 [0.35-2.62],0.923653620426422,cis
Chapter VI Diseases of the nervous system,SFN,DLL1,Delta-like protein 1,Inverse variance weighted,6,0.19 [0.06-0.58],0.00349388905853307,trans
Chapter VI Diseases of the nervous system,SFN,RNASET2,Ribonuclease T2,Inverse variance weighted,10,0.61 [0.35-1.05],0.0750206659744597,trans
Chapter VI Diseases of the nervous system,SFN,PGF,Placenta growth factor,Inverse variance weighted,5,1.93 [0.77-4.87],0.162337325639867,trans
Chapter VI Diseases of the nervous system,SFN,EPHB4,Ephrin type-B receptor 4,Inverse variance weighted,9,0.83 [0.46-1.48],0.520118212724068,trans
Chapter VI Diseases of the nervous system,SFN,PLAUR,Urokinase plasminogen activator surface receptor,Inverse variance weighted,8,1.31 [0.5-3.45],0.581414134320502,trans
Chapter VI Diseases of the nervous system,SFN,CD300E,CMRF35-like molecule 2,Inverse variance weighted,35,0.94 [0.73-1.2],0.601426926368823,trans
Chapter VI Diseases of the nervous system,SFN,FSTL1,Follistatin-related protein 1,Inverse variance weighted,12,0.83 [0.42-1.66],0.604896571174644,trans
Chapter VI Diseases of the nervous system,SFN,SCARB2,Lysosome membrane protein 2,Inverse variance weighted,10,0.8 [0.35-1.85],0.605988001398986,trans
Chapter VI Diseases of the nervous system,SFN,EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,3,1.44 [0.3-6.88],0.65033304004915,trans
Chapter VI Diseases of the nervous system,SFN,COL6A3,Collagen alpha-3(VI) chain,Inverse variance weighted,3,0.76 [0.19-3.02],0.692817559627498,trans
Chapter VI Diseases of the nervous system,SFN,GDF15,Growth/differentiation factor 15,Wald ratio,1,0.57 [0.02-16.74],0.747525517312178,trans
Chapter VI Diseases of the nervous system,SFN,NOS1,"Nitric oxide synthase, brain",Wald ratio,1,0.74 [0.11-4.83],0.755250370188601,trans
Chapter VI Diseases of the nervous system,SFN,MYBPC1,"Myosin-binding protein C, slow-type",Inverse variance weighted,13,0.95 [0.49-1.83],0.867544069149827,trans
Chapter VI Diseases of the nervous system,SFN,NEFL,Neurofilament light polypeptide,Inverse variance weighted,6,0.91 [0.28-2.99],0.879051667660765,trans
Chapter VI Diseases of the nervous system,SFN,HSPB6,Heat shock protein beta-6,Inverse variance weighted,4,1.12 [0.19-6.62],0.90101112905122,trans
Chapter VI Diseases of the nervous system,SFN,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.02 [0.45-2.31],0.968976140055019,trans
Chapter VI Diseases of the nervous system,SFN,EFNA4,Ephrin-A4,Inverse variance weighted,2,0.99 [0.14-6.99],0.988325967911867,trans
