Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TOEDEFORMOTH,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,4,1.95 [0.89-4.29],0.0959213582783102,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TOEDEFORMOTH,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,8,0.87 [0.64-1.18],0.364341730863511,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TOEDEFORMOTH,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.08 [0-2.5],0.152321042906759,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TOEDEFORMOTH,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,5,0.55 [0.21-1.4],0.205898747205812,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TOEDEFORMOTH,EDA2R,Tumor necrosis factor receptor superfamily member 27,Inverse variance weighted,12,1.32 [0.64-2.72],0.453791673897696,trans
Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_TOEDEFORMOTH,COL9A1,Collagen alpha-1(IX) chain,Inverse variance weighted,7,0.88 [0.48-1.61],0.675466136137604,trans
