Disease_category,Disease,Protein,Protein_definition,method,nsnp,OR [95% CI],Pvalue,QTL_type
Chapter XIII Diseases of the musculoskeletal system and connective tissue,SPONDYLOARTHRITIS,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,4,1.03 [0.81-1.32],0.796787949854122,cis
Chapter XIII Diseases of the musculoskeletal system and connective tissue,SPONDYLOARTHRITIS,TNFRSF1B,Tumor necrosis factor receptor superfamily member 1B,Inverse variance weighted,5,0.91 [0.63-1.33],0.640189505527519,trans
