Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ABCA2,ATP-binding cassette sub-family A member 2,21348,120,1.54 [1.01-2.35],0.0463372605711669
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ABO,Histo-blood group ABO system transferase,22065,123,0.84 [0.75-0.95],0.0054445949645144
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ACAN,Aggrecan core protein,25199,151,1.68 [1.03-2.75],0.0390099942747866
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ACE2,Angiotensin-converting enzyme 2,24962,148,1.28 [1.00-1.62],0.0457669454686883
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ACHE,Acetylcholinesterase,21554,123,0.57 [0.34-0.96],0.0351330631246967
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ACYP1,Acylphosphatase-1,21473,122,0.71 [0.54-0.93],0.0125155263445221
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,21429,124,1.57 [1.19-2.08],0.0014668359334974
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,21978,123,1.70 [1.01-2.84],0.0445183130827085
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16,24962,148,1.49 [1.10-2.00],0.0091805853347448
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ADD1,Alpha-adducin,21554,123,0.77 [0.60-0.99],0.0393618443066862
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ADIPOQ,Adiponectin,22075,126,1.29 [1.03-1.61],0.0242117218993554
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ADM,Pro-adrenomedullin,25657,150,1.97 [1.15-3.37],0.0137145628400918
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AFP,Alpha-fetoprotein,25181,147,0.78 [0.62-0.98],0.0339940740167882
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AGRN,Agrin,25540,150,1.71 [1.17-2.51],0.0056229752886097
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AGRP,Agouti-related protein,25730,152,0.68 [0.53-0.86],0.0017513514299759
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AHNAK2,Protein AHNAK2,21439,117,1.95 [1.17-3.23],0.0102793079069133
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AHSP,Alpha-hemoglobin-stabilizing protein,25386,152,0.84 [0.72-0.98],0.0232791382073159
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AK1,Adenylate kinase isoenzyme 1,25430,152,0.74 [0.59-0.93],0.0099253004308234
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ALCAM,CD166 antigen,25742,152,2.25 [1.17-4.35],0.0157673232826344
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ALPP,"Alkaline phosphatase, placental type",25313,149,1.13 [1.01-1.27],0.0397479260476853
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AMBP,Protein AMBP,25625,150,2.80 [1.38-5.69],0.0044047050059058
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,AMOT,Angiomotin,21554,123,1.77 [1.24-2.52],0.0014863010670408
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ANGPT2,Angiopoietin-2,25657,150,1.58 [1.12-2.24],0.0100146914097743
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ANGPTL1,Angiopoietin-related protein 1,25069,152,1.64 [1.02-2.64],0.0394135336094785
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ANPEP,Aminopeptidase N,25449,151,1.67 [1.04-2.66],0.0323760103713209
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,APOA2,Apolipoprotein A-II,22065,123,1.73 [1.24-2.43],0.0014117987322663
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,APOE,Apolipoprotein E,22075,126,1.24 [1.06-1.45],0.0080807753951742
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,APOM,Apolipoprotein M,25461,151,0.54 [0.32-0.90],0.0187729276599542
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ARHGEF10,Rho guanine nucleotide exchange factor 10,22028,126,0.80 [0.66-0.96],0.0184250788964854
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ART3,Ecto-ADP-ribosyltransferase 3,25493,151,0.60 [0.41-0.89],0.0112501953840761
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ASGR1,Asialoglycoprotein receptor 1,25269,147,1.88 [1.20-2.96],0.0060347582081813
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ATRAID,All-trans retinoic acid-induced differentiation factor,21978,123,1.46 [1.06-2.02],0.0218933233693616
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,ATXN2,Ataxin-2,21357,120,1.22 [1.07-1.37],0.0019489615681844
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,B4GALT1,"Beta-1,4-galactosyltransferase 1",25540,150,1.99 [1.20-3.29],0.0072278592282218
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BAP18,Chromatin complexes subunit BAP18,22001,125,1.25 [1.02-1.52],0.0283741173277685
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BCL7A,B-cell CLL/lymphoma 7 protein family member A,21284,122,0.70 [0.51-0.97],0.0328598036629969
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BGLAP,Osteocalcin,22048,125,1.25 [1.03-1.51],0.0229375605922272
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BLVRB,Flavin reductase,25426,152,0.79 [0.64-0.99],0.0434490095703215
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BMPER,BMP-binding endothelial regulator protein,21554,123,2.12 [1.12-4.02],0.0215162387963231
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BST2,Bone marrow stromal antigen 2,25683,152,1.39 [1.13-1.72],0.0020623082584257
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BTD,Biotinidase,22075,126,0.36 [0.17-0.77],0.0082728157677628
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,BTN3A2,Butyrophilin subfamily 3 member A2,25423,152,1.50 [1.04-2.15],0.0305719737757113
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,C1QL2,Complement C1q-like protein 2,21429,124,1.44 [1.03-2.02],0.0350305029293175
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,C1R,Complement C1r subcomponent,22075,126,1.89 [1.07-3.35],0.0280190317005428
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,C1RL,Complement C1r subcomponent-like protein,22037,126,3.72 [1.56-8.91],0.0031453749317555
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,C3,Complement C3,20939,119,1.36 [1.01-1.82],0.0414355366965074
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,C4BPB,C4b-binding protein beta chain,25492,150,1.59 [1.13-2.22],0.0074389467983709
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,C9,Complement component C9,22065,123,1.55 [1.11-2.15],0.0096462455076086
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CA12,Carbonic anhydrase 12,25313,149,1.70 [1.18-2.44],0.0044692551037411
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CA14,Carbonic anhydrase 14,25657,150,0.53 [0.36-0.78],0.0012379755447495
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CA2,Carbonic anhydrase 2,25351,152,0.80 [0.65-0.98],0.0302037494931365
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CA6,Carbonic anhydrase 6,25337,152,0.75 [0.61-0.92],0.0064426763910623
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CAT,Catalase,21735,122,0.72 [0.52-1.00],0.0492591648271429
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CCDC80,Coiled-coil domain-containing protein 80,25430,152,1.69 [1.15-2.48],0.0071487826265871
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CCL25,C-C motif chemokine 25,25730,152,1.36 [1.03-1.80],0.0302645571652235
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CCL3,C-C motif chemokine 3,25423,152,1.20 [1.04-1.39],0.0142260838432944
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified dorsalgia,CCL7,C-C motif chemokine 7,25423,152,1.49 [1.25-1.77],5.484412216397226e-06
