Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
MYL6B,Myosin light chain 6B,Chapter XI Diseases of the digestive system,Coeliac disease,22696,94,1.56 [1.38-1.76],8.407799050506274e-13
MYL6B,Myosin light chain 6B,Chapter XI Diseases of the digestive system,Intestinal malabsorption,22716,114,1.52 [1.35-1.70],1.4932494611485937e-12
