Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,A1BG,Alpha-1B-glycoprotein,14588,87,3.87 [1.22-12.24],0.0211621835529434
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACE2,Angiotensin-converting enzyme 2,16123,100,1.50 [1.13-2.00],0.0052592031173031
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACHE,Acetylcholinesterase,14268,84,0.34 [0.17-0.66],0.001352623004794
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACP5,Tartrate-resistant acid phosphatase type 5,16552,105,1.89 [1.12-3.19],0.0162706765312003
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACRV1,Acrosomal protein SP-10,14142,84,0.79 [0.64-0.96],0.017391762599344
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ACTA2,"Actin, aortic smooth muscle",16123,100,1.44 [1.03-2.00],0.030911321252422
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,14142,84,2.20 [1.32-3.68],0.0024993614396608
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13,16655,106,0.48 [0.24-0.96],0.037774216577719
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8,16508,102,0.59 [0.40-0.88],0.0084509189214568
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAMTSL2,ADAMTS-like protein 2,14570,87,2.05 [1.21-3.47],0.0080042632625815
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADAMTSL5,ADAMTS-like protein 5,14568,86,0.58 [0.34-0.98],0.0436737487420657
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRE2,Adhesion G protein-coupled receptor E2,16527,104,0.53 [0.28-1.00],0.049120697561784
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRE5,Adhesion G protein-coupled receptor E5,16581,105,0.51 [0.28-0.92],0.0260252885946293
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADGRG2,Adhesion G-protein coupled receptor G2,16461,101,0.43 [0.24-0.78],0.0056375197744123
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADM,Pro-adrenomedullin,16582,103,3.33 [1.69-6.57],0.0005224639250427
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AFAP1,Actin filament-associated protein 1,14268,84,1.31 [1.04-1.65],0.0204858688904336
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AGR2,Anterior gradient protein 2 homolog,15952,97,1.22 [1.02-1.46],0.0281893194316889
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AKR1B10,Aldo-keto reductase family 1 member B10,14181,85,1.34 [1.01-1.77],0.0425383886979459
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AMBP,Protein AMBP,16558,103,2.67 [1.15-6.16],0.0218560878137499
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AMIGO1,Amphoterin-induced protein 1,14181,85,1.38 [1.04-1.85],0.0276999311458343
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANGPT2,Angiopoietin-2,16582,103,2.04 [1.35-3.08],0.0006925138049611
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ANXA5,Annexin A5,16033,97,2.37 [1.47-3.83],0.0004016181761912
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,AREG,Amphiregulin,16378,104,1.97 [1.42-2.72],4.395830536950758e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ART3,Ecto-ADP-ribosyltransferase 3,16537,102,0.44 [0.28-0.70],0.000512569507478
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ARTN,Artemin,16138,102,1.33 [1.01-1.77],0.0429443509554866
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ASGR1,Asialoglycoprotein receptor 1,16315,102,1.83 [1.06-3.18],0.0313548133765414
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ATF4,Cyclic AMP-dependent transcription factor ATF-4,14049,87,0.49 [0.24-0.97],0.0393891958934605
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ATP6V1D,V-type proton ATPase subunit D,16378,104,1.78 [1.19-2.66],0.0049558938670065
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BAG3,BAG family molecular chaperone regulator 3,16290,102,0.53 [0.39-0.72],4.6472024309802494e-05
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BPIFA2,BPI fold-containing family A member 2,13716,81,0.74 [0.60-0.91],0.003872199570341
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,BPIFB2,BPI fold-containing family B member 2,14540,86,0.66 [0.47-0.93],0.0164625794282354
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C1QTNF9,Complement C1q and tumor necrosis factor-related protein 9A,14239,84,0.55 [0.38-0.80],0.0018095226153719
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C9,Complement component C9,14580,88,1.69 [1.12-2.53],0.0119495138736269
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA14,Carbonic anhydrase 14,16582,103,0.22 [0.14-0.35],7.298219902860495e-11
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CA6,Carbonic anhydrase 6,16414,101,0.45 [0.35-0.59],3.225189115049127e-09
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CALCA,Calcitonin,16286,102,0.75 [0.57-0.98],0.0335273361506494
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CALCB,Calcitonin gene-related peptide 2,14541,87,1.61 [1.12-2.33],0.0105113021720442
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CAPS,Calcyphosin,14541,87,0.68 [0.48-0.97],0.0347669124754594
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCDC80,Coiled-coil domain-containing protein 80,16461,101,1.72 [1.09-2.70],0.0194467117397563
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,14207,84,1.50 [1.10-2.04],0.0104246980984443
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CCL20,C-C motif chemokine 20,16615,106,1.28 [1.10-1.50],0.0013154703778109
