Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ACTA2,"Actin, aortic smooth muscle",22286,331,1.27 [1.05-1.55],0.0144211096347692
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ACVRL1,Serine/threonine-protein kinase receptor R3,22471,338,1.94 [1.40-2.69],6.498900197788136e-05
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,19181,292,1.44 [1.06-1.95],0.0209454804205927
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,22506,338,1.33 [1.02-1.73],0.0340857865930284
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,19666,296,1.71 [1.22-2.39],0.0019540862614344
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15,22599,338,1.60 [1.27-2.01],5.123152314349668e-05
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADAMTSL2,ADAMTS-like protein 2,19771,293,1.42 [1.05-1.93],0.0241258479577256
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADGRB3,Adhesion G protein-coupled receptor B3,22471,338,1.42 [1.08-1.88],0.0133155725268144
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADGRV1,Adhesion G-protein coupled receptor V1,19112,288,1.19 [1.04-1.36],0.0111538020995686
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ADM,Pro-adrenomedullin,22890,343,1.77 [1.23-2.54],0.0020946654535349
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",AGBL2,Cytosolic carboxypeptidase 2,19112,288,0.88 [0.78-0.98],0.0260403401466296
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",AGRN,Agrin,22804,340,1.45 [1.13-1.86],0.0031672370279889
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ALCAM,CD166 antigen,22990,344,1.96 [1.26-3.03],0.0027534964525554
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",AMFR,E3 ubiquitin-protein ligase AMFR,22194,322,1.19 [1.03-1.37],0.0193644374104278
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ANGPT2,Angiopoietin-2,22890,343,1.59 [1.26-2.00],8.973418939962799e-05
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APCS,Serum amyloid P-component,19594,295,0.65 [0.48-0.88],0.0058886465065428
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APOA1,Apolipoprotein A-I,19788,297,0.45 [0.29-0.70],0.0003889985474399
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APOBR,Apolipoprotein B receptor,19263,288,0.72 [0.55-0.92],0.0103565100981902
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APOC1,Apolipoprotein C-I,19754,297,0.72 [0.53-0.96],0.0277205869996125
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APOD,Apolipoprotein D,18933,283,0.60 [0.43-0.84],0.0029597681410544
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APOF,Apolipoprotein F,19770,298,0.62 [0.45-0.87],0.0050131844154572
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",APOM,Apolipoprotein M,22783,338,0.69 [0.50-0.96],0.0282465534814872
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ASGR1,Asialoglycoprotein receptor 1,22506,338,1.79 [1.33-2.41],0.0001282376372747
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ASGR2,Asialoglycoprotein receptor 2,19770,298,1.73 [1.18-2.56],0.0054412717558674
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ATP6V1D,V-type proton ATPase subunit D,22599,338,1.48 [1.13-1.95],0.0048122966804882
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",ATRAID,All-trans retinoic acid-induced differentiation factor,19666,296,1.79 [1.38-2.33],1.503037258583385e-05
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",B2M,Beta-2-microglobulin,19788,297,1.53 [1.23-1.92],0.0001794456349006
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",B4GALT1,"Beta-1,4-galactosyltransferase 1",22804,340,1.58 [1.14-2.20],0.006159368763805
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",BGLAP,Osteocalcin,19771,293,1.17 [1.04-1.33],0.0120977554357561
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",BMPER,BMP-binding endothelial regulator protein,19342,289,1.74 [1.13-2.70],0.012822633448727
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",BPIFA2,BPI fold-containing family A member 2,18591,279,0.89 [0.80-0.99],0.0348981005921716
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",BSG,Basigin,22897,344,2.02 [1.30-3.14],0.0018383851683043
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",BTN2A1,Butyrophilin subfamily 2 member A1,22804,340,1.75 [1.27-2.41],0.0006919520510896
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",C7,Complement component C7,19301,290,1.45 [1.03-2.04],0.0333083455772906
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CA12,Carbonic anhydrase 12,22599,338,1.36 [1.02-1.80],0.0359099699170059
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CA6,Carbonic anhydrase 6,22668,336,0.80 [0.69-0.92],0.0020981437020803
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,19112,288,1.21 [1.02-1.44],0.0266442099334109
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CALB2,Calretinin,22194,322,1.34 [1.07-1.69],0.0116379391357191
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CCDC28A,Coiled-coil domain-containing protein 28A,19227,286,0.68 [0.46-1.00],0.0498457193965268
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CCDC80,Coiled-coil domain-containing protein 80,22710,336,1.40 [1.10-1.78],0.0068534279392851
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CCL20,C-C motif chemokine 20,22931,344,1.12 [1.01-1.23],0.0249007196395702
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CCL22,C-C motif chemokine 22,22501,330,1.22 [1.03-1.45],0.022370023761558
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CCN3,CCN family member 3,22951,343,1.54 [1.20-1.98],0.0006463071074566
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CCN4,CCN family member 4,22890,343,1.45 [1.16-1.81],0.001258124609467
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD160,CD160 antigen,22931,344,1.22 [1.01-1.47],0.0415284428482103
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD200R1,Cell surface glycoprotein CD200 receptor 1,22588,336,1.33 [1.02-1.73],0.0381254479027176
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD207,C-type lectin domain family 4 member K,22193,331,1.30 [1.02-1.67],0.0340525834863467
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD27,CD27 antigen,22800,342,1.36 [1.10-1.67],0.0037086255683734
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD274,Programmed cell death 1 ligand 1,22506,338,1.31 [1.01-1.70],0.0425845559339117
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD276,CD276 antigen,22697,336,1.41 [1.08-1.85],0.0116935795338492
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD300A,CMRF35-like molecule 8,19342,289,2.02 [1.44-2.85],5.732153933492657e-05
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD300C,CMRF35-like molecule 6,22893,341,1.39 [1.07-1.80],0.0138974015092779
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD300E,CMRF35-like molecule 2,22815,343,1.33 [1.08-1.65],0.0078176181941033
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD302,CD302 antigen,22599,338,1.64 [1.24-2.16],0.0004962601247567
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD4,T-cell surface glycoprotein CD4,22617,336,1.38 [1.05-1.81],0.0221909320651706
Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",CD59,CD59 glycoprotein,21923,333,1.80 [1.28-2.54],0.0007465245390915
