,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.709 [0.689 - 0.731],0.658 [0.654 - 0.662],0.659 [0.623 - 0.695],0.658 [0.654 - 0.662],0.026 [0.024 - 0.028],0.317 [0.281 - 0.354],0.050 [0.045 - 0.055]
Demographic,0.651 [0.630 - 0.673],0.612 [0.608 - 0.617],0.611 [0.572 - 0.648],0.612 [0.608 - 0.617],0.021 [0.019 - 0.024],0.223 [0.185 - 0.261],0.041 [0.037 - 0.046]
Protein+Demographic,0.716 [0.695 - 0.738],0.664 [0.660 - 0.668],0.664 [0.627 - 0.702],0.664 [0.660 - 0.668],0.027 [0.024 - 0.029],0.328 [0.290 - 0.366],0.051 [0.047 - 0.056]
