,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.619 [0.572 - 0.662],0.578 [0.573 - 0.584],0.579 [0.497 - 0.653],0.578 [0.573 - 0.584],0.008 [0.006 - 0.009],0.157 [0.073 - 0.231],0.015 [0.012 - 0.018]
Demographic,0.596 [0.555 - 0.639],0.591 [0.585 - 0.597],0.591 [0.513 - 0.677],0.591 [0.585 - 0.597],0.008 [0.006 - 0.010],0.183 [0.103 - 0.266],0.016 [0.013 - 0.019]
Protein+Demographic,0.671 [0.630 - 0.710],0.625 [0.620 - 0.631],0.623 [0.546 - 0.701],0.625 [0.620 - 0.631],0.009 [0.007 - 0.011],0.248 [0.171 - 0.326],0.018 [0.015 - 0.022]
