,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.695 [0.681 - 0.709],0.640 [0.636 - 0.645],0.640 [0.616 - 0.666],0.640 [0.636 - 0.645],0.052 [0.048 - 0.055],0.280 [0.256 - 0.306],0.095 [0.090 - 0.101]
Demographic,0.667 [0.653 - 0.679],0.617 [0.613 - 0.621],0.616 [0.591 - 0.642],0.617 [0.613 - 0.621],0.047 [0.044 - 0.050],0.233 [0.208 - 0.260],0.087 [0.082 - 0.093]
Protein+Demographic,0.699 [0.685 - 0.712],0.643 [0.638 - 0.647],0.643 [0.618 - 0.667],0.643 [0.639 - 0.647],0.052 [0.049 - 0.055],0.285 [0.260 - 0.310],0.096 [0.091 - 0.102]
