,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.690 [0.671 - 0.710],0.636 [0.630 - 0.640],0.636 [0.604 - 0.667],0.636 [0.630 - 0.640],0.039 [0.036 - 0.042],0.272 [0.237 - 0.303],0.074 [0.068 - 0.080]
Demographic,0.651 [0.634 - 0.669],0.612 [0.607 - 0.617],0.613 [0.581 - 0.644],0.612 [0.607 - 0.617],0.036 [0.033 - 0.039],0.225 [0.192 - 0.256],0.067 [0.062 - 0.073]
Protein+Demographic,0.696 [0.678 - 0.716],0.646 [0.641 - 0.651],0.646 [0.615 - 0.680],0.646 [0.641 - 0.651],0.041 [0.038 - 0.044],0.292 [0.259 - 0.327],0.077 [0.071 - 0.083]
