,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.507 [0.466 - 0.547],0.507 [0.502 - 0.512],0.507 [0.430 - 0.581],0.507 [0.502 - 0.512],0.004 [0.003 - 0.005],0.015 [-0.064 - 0.088],0.008 [0.006 - 0.010]
Demographic,0.578 [0.537 - 0.615],0.557 [0.553 - 0.561],0.561 [0.487 - 0.626],0.557 [0.553 - 0.561],0.005 [0.004 - 0.006],0.118 [0.042 - 0.183],0.010 [0.008 - 0.012]
Protein+Demographic,0.535 [0.494 - 0.574],0.517 [0.512 - 0.522],0.518 [0.444 - 0.589],0.517 [0.512 - 0.522],0.004 [0.003 - 0.005],0.035 [-0.039 - 0.105],0.008 [0.007 - 0.010]
